Geneid	0_R1	0_R2	0_R3	0_R4	2_R1	2_R2	2_R3	2_R4	5_R1	5_R2	5_R3	5_R4	10_R1	10_R2	10_R3	10_R4	20_R1	20_R2	20_R3	20_R4	30_R1	30_R2	30_R3	30_R4	40_R1	40_R2	40_R3	40_R4	Entity	Symbol
gene-NRS_1733	852	1113	919	1016	756	680	789	1149	476	490	623	540	322	390	554	467	368	391	177	202	531	400	538	340	494	396	295	277	host	gene-NRS_1733
gene-NRS_1327	2675	2537	2115	2088	2647	1695	1990	2501	1723	1319	1328	1278	645	685	1546	912	680	649	223	313	882	675	817	586	908	499	374	349	host	gene-NRS_1327
gene-NRS_2647	244	322	234	344	279	119	192	294	163	137	156	179	80	238	247	230	133	134	79	98	130	142	174	119	130	94	105	95	host	gene-NRS_2647
gene-NRS_2077	1335	1130	1054	726	989	821	910	1143	568	681	939	667	320	247	367	274	174	193	89	104	225	230	234	155	202	114	109	93	host	gene-NRS_2077
gene-NRS_1928	965	943	849	911	931	702	812	991	455	497	542	469	191	298	471	328	236	282	81	123	340	243	352	217	296	206	172	147	host	gene-NRS_1928
gene-NRS_271	398	389	334	376	379	265	291	416	214	246	275	236	121	163	262	199	115	136	104	132	174	162	195	134	192	87	111	73	host	gene-NRS_271
gene-NRS_474	1715	1577	3167	1136	1704	921	1294	1340	833	889	955	849	331	471	696	458	235	364	171	1429	367	275	388	249	285	200	172	151	host	gene-NRS_474
gene-NRS_730	1620	1866	1782	1721	1457	1450	1508	2128	805	995	1142	969	385	636	887	542	455	535	237	290	585	383	635	452	609	345	302	274	host	gene-NRS_730
gene-NRS_1032	27503	46298	44713	54562	23681	37884	38716	53902	11420	23802	29025	26661	10520	19240	13797	19172	8498	10017	10895	9221	11952	10576	12038	9134	15760	9774	9667	8679	host	gene-NRS_1032
gene-NRS_1417	24	29	19	29	25	17	21	27	17	19	28	14	7	20	16	8	12	14	7	6	19	20	26	11	9	10	2	9	host	gene-NRS_1417
gene-NRS_2365	3084	2769	2703	2898	3212	1705	2068	2941	1927	1340	1399	1342	663	1220	2475	1366	1315	1235	620	831	1660	1154	1559	1060	1910	1105	967	798	host	gene-NRS_2365
gene-NRS_834	831	1017	1019	975	915	729	737	1036	515	706	723	781	490	900	921	725	607	865	224	319	745	821	1117	787	751	549	526	415	host	gene-NRS_834
gene-NRS_1181	5356	8656	7896	8524	4244	6228	6440	8513	2136	4009	4642	4152	1575	2351	2582	2138	1536	1520	955	1068	2083	1663	1882	1454	2465	1315	1249	1090	host	gene-NRS_1181
gene-NRS_52	157	164	150	158	150	133	139	140	123	129	128	117	46	83	147	86	47	77	51	53	78	52	85	68	58	44	41	37	host	gene-NRS_52
gene-NRS_1815	5935	20819	5006	5311	5319	4158	4238	9187	3803	2801	3254	2684	1216	2099	2958	2061	1281	1489	514	678	1741	1314	1604	1218	1561	983	842	686	host	gene-NRS_1815
gene-CPT_phageK_gp059	257	356	475	348	4245	3797	4199	6422	15194	19830	19785	20502	12091	11505	15747	8798	3667	4991	3056	2848	2704	2981	3994	2719	1759	1253	1477	1286	phage	gene-CPT_phageK_gp059
gene-NRS_316	8970	6833	5938	7071	8493	4679	5544	7560	5465	4360	4837	4710	2329	4368	6818	4428	2998	3043	1465	1729	3578	2944	3438	2458	3441	2192	2140	1761	host	gene-NRS_316
gene-NRS_970	19798	18480	17168	27476	21861	18079	16552	42502	13451	10167	12566	25922	5304	14585	18379	13184	9468	9945	8327	7968	11125	8816	10648	7657	10782	7253	6420	6130	host	gene-NRS_970
gene-NRS_1258	2545	1781	1579	1776	2244	1496	1570	2086	1354	1273	1424	1231	586	1215	1121	967	439	721	398	394	676	542	832	488	704	427	391	362	host	gene-NRS_1258
gene-NRS_2593	3260	2181	1877	2172	3376	1866	2203	2805	2300	1494	1742	1426	690	1077	1982	1153	1003	1125	683	723	1343	875	1254	971	1038	603	623	579	host	gene-NRS_2593
gene-NRS_2504	150	133	135	93	131	62	84	104	63	92	66	54	30	26	65	38	23	28	15	27	52	28	46	40	49	25	21	15	host	gene-NRS_2504
gene-NRS_88	9328	8298	6984	8932	9417	12684	6429	8894	5998	4432	4991	4728	2280	4670	7927	4312	4005	3584	1969	2245	5104	3490	4332	3238	4637	2580	2640	2247	host	gene-NRS_88
gene-NRS_617	3615	2777	3072	1725	3016	1607	1909	2651	3705	1832	1548	1775	814	583	1427	741	600	771	376	527	900	571	956	694	1021	447	446	410	host	gene-NRS_617
gene-CPT_phageK_gp097	286	532	451	229	3243	2550	4128	5570	14908	26447	21396	25576	30865	13326	30220	16466	11118	12918	6634	5880	6348	6855	9215	5428	3323	2743	2592	3981	phage	gene-CPT_phageK_gp097
gene-NRS_1783	2482	1686	1574	1693	2160	1265	1326	1942	1497	1238	1199	1159	549	936	1281	704	484	559	191	294	572	452	579	395	504	292	263	252	host	gene-NRS_1783
gene-CPT_phageK_gp112	391	1265	714	559	5041	5086	6054	9665	29288	44681	46585	54705	108340	130839	169998	145613	91505	119864	59228	69920	64630	67505	88075	55545	47277	32183	37290	30887	phage	gene-CPT_phageK_gp112
gene-NRS_972	950	661	560	644	805	436	474	710	514	390	391	331	173	263	584	309	304	258	66	130	413	270	334	271	503	212	169	172	host	gene-NRS_972
gene-CPT_phageK_gp216	767	3398	1300	726	7569	6278	8628	12469	42363	64387	58559	78105	150619	166645	159890	110893	134985	194041	74234	83129	72356	88250	118977	78812	347927	28838	29530	24483	phage	gene-CPT_phageK_gp216
gene-NRS_2350	3490	4277	3052	3950	4309	2679	3289	4129	2480	1850	2240	2051	855	1961	3007	2227	1415	1570	1307	1322	1862	1464	1822	1245	1609	1130	1183	1003	host	gene-NRS_2350
gene-NRS_230	8806	12860	9042	11645	10108	4603	10788	14065	4873	4154	3907	4298	1567	2522	5452	5635	4812	3113	1618	2101	5998	3361	4577	3570	8443	4744	3350	3686	host	gene-NRS_230
gene-NRS_2380	2902	2388	1899	2510	1866	872	1755	2602	702	562	513	481	239	470	648	745	569	360	144	220	548	363	446	389	836	399	353	345	host	gene-NRS_2380
gene-NRS_1820	6797	5174	4847	6309	7207	4359	4265	6250	4617	3059	3364	3137	1677	3657	6159	2564	2811	2970	1298	1629	3204	2363	3008	2293	2707	1809	1589	1331	host	gene-NRS_1820
gene-NRS_962	2138	1884	1888	1818	2594	2340	2212	2475	1642	1593	1969	1563	801	997	1417	522	510	718	534	480	860	499	749	552	412	285	280	281	host	gene-NRS_962
gene-NRS_864	4449	3663	3357	3853	4794	3220	3611	4399	3394	2724	3015	2782	1473	2783	4832	2688	2317	2330	1122	1321	2637	2066	2452	1792	2166	1282	1406	1093	host	gene-NRS_864
gene-NRS_1939	3162	2863	2522	2688	3549	1980	2076	2773	1841	1441	1452	1447	654	1148	1889	1065	770	953	417	563	1076	788	967	739	1071	560	569	537	host	gene-NRS_1939
gene-NRS_2451	284	274	238	276	277	210	262	328	105	150	206	186	104	138	138	136	62	102	63	70	83	99	125	115	85	72	63	62	host	gene-NRS_2451
gene-NRS_1845	1644	2523	2296	4327	1600	2299	2587	2463	930	1452	2405	1824	643	1901	1187	1061	632	825	356	467	810	585	768	619	772	654	406	394	host	gene-NRS_1845
gene-NRS_456	2795	2645	1784	2527	3304	1017	1730	2475	2223	1009	1178	1163	757	1966	2824	1752	1516	1733	1030	1162	1767	1616	1795	1384	1476	1135	1111	973	host	gene-NRS_456
gene-NRS_1598	7101	8689	8498	9777	6606	7929	8148	10493	3468	5027	5773	4805	1864	3570	3524	3409	2067	2302	1595	1630	2743	2271	2649	1817	2983	1631	1752	1570	host	gene-NRS_1598
gene-NRS_1288	457	200	161	155	416	117	133	192	317	132	122	124	55	124	262	150	140	139	55	68	130	103	150	82	82	55	62	45	host	gene-NRS_1288
gene-NRS_777	122615	116624	101714	130836	117222	86316	92270	146893	67735	60461	69418	62938	64631	63274	82240	79386	37352	41533	31239	32589	43708	37478	44286	30877	51662	33276	29571	26192	host	gene-NRS_777
gene-NRS_1400	4933	7096	6075	7177	5436	4074	5269	6566	2914	3334	5072	3882	1764	2991	3950	3128	1898	2276	999	1355	2818	2214	2697	2022	2480	1771	1545	1364	host	gene-NRS_1400
gene-NRS_291	353	213	200	172	359	187	193	263	223	141	141	153	64	49	173	85	62	62	28	44	73	69	69	45	74	47	46	34	host	gene-NRS_291
gene-NRS_1650	40252	46168	43255	53989	38211	35701	36489	52111	20876	22776	26627	25910	10186	23488	27257	24064	15749	15904	12590	12528	19703	16317	18774	13477	22934	13532	13476	11842	host	gene-NRS_1650
gene-NRS_1545	12837	13357	12417	15572	12200	10601	11142	15611	7116	7571	8890	7576	3751	7279	7655	6585	3568	3628	1955	2089	4699	3629	3955	2991	5237	2967	2713	2325	host	gene-NRS_1545
gene-CPT_phageK_gp090	534	1060	1079	984	9677	8596	10826	16721	41852	55385	61166	65725	52311	62497	91799	64408	22421	28184	17794	17541	14646	16321	20820	14236	10366	8749	9757	7466	phage	gene-CPT_phageK_gp090
gene-CPT_phageK_gp196	330	912	769	478	5759	4715	6532	10736	30832	43487	38752	50775	88900	65058	112107	83685	59978	69744	45805	44494	30656	30816	43823	31045	18923	12913	14107	11702	phage	gene-CPT_phageK_gp196
gene-NRS_1158	1588	1292	1068	1073	1599	774	964	1330	1025	791	735	777	330	380	948	491	453	444	149	210	622	393	501	461	595	337	278	219	host	gene-NRS_1158
gene-NRS_1584	15128	9954	9442	11104	9634	8473	8395	11801	5201	5350	5833	5262	2236	4682	5275	3910	2617	2786	1560	1859	3426	2593	3240	2377	3524	2014	1970	1713	host	gene-NRS_1584
gene-NRS_139	2262	2369	1834	2493	2547	1406	1822	2518	1707	993	1221	1247	578	1351	2119	1657	1444	1169	786	881	1636	1164	1410	1107	1578	1106	997	968	host	gene-NRS_139
gene-NRS_1040	10635	10651	10006	9594	9272	8601	9187	12570	5375	7075	7288	6505	2827	3028	4478	3476	2117	2330	1009	1228	3221	2070	2985	2183	3645	1759	1559	1355	host	gene-NRS_1040
gene-NRS_1177	5156	5880	5833	6721	5531	5041	5624	6742	2753	3365	4473	3807	1795	3328	3549	2891	1550	2093	1636	1586	2227	1817	2209	1764	1893	1243	1294	1137	host	gene-NRS_1177
gene-NRS_1769	1242	964	762	903	1251	855	913	1187	844	657	755	675	326	615	845	546	374	419	168	195	477	398	504	327	382	238	244	204	host	gene-NRS_1769
gene-NRS_1791	52	56	44	40	47	21	49	58	23	33	42	39	16	21	43	33	26	32	9	17	36	29	41	30	41	24	28	21	host	gene-NRS_1791
gene-NRS_266	1584	3294	1585	1889	2174	818	1499	2034	813	634	710	839	330	471	772	786	455	569	160	226	668	568	773	498	815	712	456	423	host	gene-NRS_266
gene-NRS_979	9041	6972	7018	6885	9209	5367	5949	7947	5345	4111	4285	4174	1971	2508	5929	3206	2930	3028	748	1315	3697	2622	3430	2520	3737	2594	1697	1450	host	gene-NRS_979
gene-NRS_397	13203	6451	5477	6880	15187	6521	6243	7802	10590	5220	5928	5161	2897	7567	12965	7790	6044	6318	2989	3602	7805	5770	6436	4732	7204	3839	3617	3150	host	gene-NRS_397
gene-NRS_1575	589	632	612	647	752	433	493	653	484	361	363	369	227	427	636	363	307	428	142	185	418	253	427	371	382	231	216	205	host	gene-NRS_1575
gene-NRS_393	9248	7050	6364	7872	9915	6311	7058	8722	5755	4161	4712	4112	2041	3677	5368	3497	2388	3121	953	1332	3238	2513	3090	2244	2686	2209	1471	1334	host	gene-NRS_393
gene-NRS_491	23177	18050	15045	20452	24329	15830	16523	21609	14810	10845	12668	10191	4695	10329	13822	9273	6139	6930	2447	3340	8067	5797	7153	5223	6928	4738	3658	3269	host	gene-NRS_491
gene-NRS_1385	4775	5059	4449	4340	5139	4499	5001	5522	2806	3404	3964	3346	1521	2126	2807	1999	1126	1681	973	990	1623	1412	1906	1308	1259	1049	906	711	host	gene-NRS_1385
gene-NRS_2433	2501	2381	2131	1812	2268	1580	1747	2253	1365	1391	1393	1271	566	634	1245	714	525	611	305	363	610	517	718	471	604	353	341	299	host	gene-NRS_2433
gene-NRS_178	689	423	432	344	608	344	406	500	379	346	332	276	161	161	257	158	117	164	82	72	139	95	154	120	168	101	88	63	host	gene-NRS_178
gene-NRS_1482	4263	3861	3480	3509	4648	2568	3206	4290	2949	2272	2559	2243	1051	1826	3430	1860	1508	1833	1611	1564	1993	1474	2159	1474	1959	1093	1195	1060	host	gene-NRS_1482
gene-NRS_2490	484	392	424	399	635	275	361	551	366	268	322	315	158	299	476	300	204	236	174	182	231	173	268	198	241	114	126	130	host	gene-NRS_2490
gene-NRS_2417	7647	6966	5948	6311	7269	4690	5702	7877	4533	4202	4457	4511	2201	3029	4875	3362	2381	2425	753	1147	3245	2498	2995	2225	3031	2086	1526	1403	host	gene-NRS_2417
gene-NRS_1077	389	405	348	269	339	209	257	396	186	251	223	220	105	127	183	77	126	147	69	79	143	97	160	125	165	71	72	53	host	gene-NRS_1077
gene-NRS_1742	1624	3334	1293	1595	2876	665	1822	2081	1093	875	913	1210	273	390	1306	735	673	615	258	409	1041	563	909	652	922	654	552	558	host	gene-NRS_1742
gene-NRS_1157	62465	83339	83544	89668	64442	74961	71021	100906	31353	48230	53256	53893	28439	39769	36815	28816	23468	30572	29845	28157	26439	19684	33286	25904	29950	23784	17948	15090	host	gene-NRS_1157
gene-NRS_2330	5194	4332	3804	5076	5711	3842	3995	5602	7292	2757	3424	2833	1262	3214	3954	2885	1781	2201	1010	1241	2396	1951	2300	1749	2075	1410	1156	1088	host	gene-NRS_2330
gene-NRS_199	1054	1073	940	937	1144	692	838	1100	680	685	633	690	282	466	1021	703	527	534	236	368	666	517	660	475	712	453	401	361	host	gene-NRS_199
gene-NRS_1557	3470	3261	2945	3589	3780	2384	2427	3601	1900	1595	1829	1586	657	1439	2446	1752	1187	1227	619	718	1522	1078	1376	1013	1664	854	846	727	host	gene-NRS_1557
gene-NRS_300	822	934	1135	673	712	684	758	934	423	674	638	645	295	302	390	354	162	264	139	186	285	178	333	252	315	163	149	137	host	gene-NRS_300
gene-NRS_2478	1777	1222	1044	1507	2402	1183	1415	1636	1417	816	1031	756	416	1018	1234	904	610	727	577	494	833	724	755	548	663	396	477	396	host	gene-NRS_2478
gene-NRS_1514	259	240	226	220	251	167	245	270	209	156	194	154	100	149	240	155	139	164	53	78	172	146	211	154	180	145	103	95	host	gene-NRS_1514
gene-NRS_1253	1690	1312	1165	752	1482	865	990	1162	817	760	693	758	451	204	503	194	168	293	67	102	292	212	352	228	232	184	115	90	host	gene-NRS_1253
gene-NRS_1677	14109	12670	12208	15063	14459	10354	10586	15577	8329	6419	7516	6645	3084	7047	9267	6977	4829	5263	3584	3731	6556	4906	5802	4319	6564	3495	3646	3410	host	gene-NRS_1677
gene-NRS_2676	408	403	433	282	365	307	329	383	190	245	314	264	111	99	180	135	79	111	50	67	138	106	124	105	80	77	69	48	host	gene-NRS_2676
gene-NRS_696	17949	5071	4550	6236	9407	3881	4383	6101	6447	5703	3651	3284	1705	4658	8077	4390	3339	3593	1783	2139	4006	3496	3754	2840	3673	2338	2275	1930	host	gene-NRS_696
gene-NRS_2455	720	797	629	793	713	460	606	739	534	419	471	411	200	433	681	375	358	302	135	164	439	375	368	270	371	270	201	182	host	gene-NRS_2455
gene-CPT_phageK_gp139	386	798	821	828	7511	5883	7335	12475	29429	35332	38656	40610	39255	53322	75382	54764	19307	23622	11684	12717	11718	12397	15319	10752	7757	5223	5753	4804	phage	gene-CPT_phageK_gp139
gene-NRS_1502	23860	23947	21836	28644	21992	20273	20824	30354	12555	12751	15997	13755	5610	13348	14678	13117	7295	7823	5473	5480	9579	7819	8663	6359	9649	6208	5863	4921	host	gene-NRS_1502
gene-NRS_131	317	309	282	350	333	230	233	320	239	137	169	171	71	191	322	166	159	145	50	63	147	128	159	135	130	116	99	70	host	gene-NRS_131
gene-NRS_550	934	889	715	719	884	618	651	867	602	579	566	524	239	446	635	417	269	260	177	157	311	244	331	213	322	157	202	145	host	gene-NRS_550
gene-NRS_1492	21039	21030	17590	21696	17654	14137	15625	22261	10010	9798	11449	10136	4220	8244	11008	8739	5175	5408	3140	3442	6797	5243	6333	4412	7032	4184	3967	3503	host	gene-NRS_1492
gene-NRS_2186	220	248	233	258	227	188	204	286	132	133	188	152	86	157	161	119	90	90	56	68	113	101	131	94	148	93	76	88	host	gene-NRS_2186
gene-NRS_1112	2046	2422	2347	1781	1455	1606	1836	2352	742	1627	1422	1364	608	544	591	500	298	326	91	156	465	309	408	299	534	206	187	180	host	gene-NRS_1112
gene-NRS_1909	2727	2746	2624	2882	2569	1805	2256	3033	1341	1603	1812	1607	809	1279	1748	1390	955	939	450	612	1402	900	1196	954	1427	786	631	594	host	gene-NRS_1909
gene-NRS_209	2506	1744	1678	1256	2379	842	1154	1583	1217	830	807	810	367	456	987	452	397	492	239	275	518	407	539	387	532	202	271	214	host	gene-NRS_209
gene-NRS_701	31559	47131	39008	54453	27874	34909	40383	56376	15021	25596	30798	26915	11210	22144	16759	22454	10614	10642	5835	6877	13846	10313	13131	11602	16072	9646	8163	7567	host	gene-NRS_701
gene-NRS_2643	173	251	183	164	191	109	144	209	123	94	103	128	57	74	132	84	60	102	47	47	60	74	89	55	72	51	50	33	host	gene-NRS_2643
gene-NRS_1955	1547	1867	1775	1720	1429	1295	1446	1938	914	1018	1109	985	567	787	910	696	539	784	312	348	666	724	960	720	713	563	571	432	host	gene-NRS_1955
gene-NRS_1161	16272	19177	15302	19877	16340	13067	15190	20545	9816	9972	11263	10490	4201	9367	10943	10489	5429	5844	6015	5769	6837	5718	6573	4655	6945	4629	5023	4512	host	gene-NRS_1161
gene-NRS_203	112	160	113	111	119	59	118	133	80	71	88	79	24	64	68	59	40	56	22	42	64	60	87	55	64	55	57	36	host	gene-NRS_203
gene-NRS_1872	2809	4096	3573	4849	2300	3663	4712	4538	1332	2589	3792	2552	448	825	1224	568	640	707	254	199	992	596	694	644	414	660	285	333	host	gene-NRS_1872
gene-NRS_486	12863	12471	11923	12481	13152	8539	9667	13680	8342	6831	7118	7310	3451	5566	10748	6142	5027	5180	2246	3036	6607	4873	6794	4812	8166	5044	3935	3388	host	gene-NRS_486
gene-NRS_1200	2739	2702	2433	2849	2729	2140	2177	2852	1632	1562	1750	1495	697	1234	1865	1324	892	1042	607	761	1129	1001	1233	899	974	633	654	603	host	gene-NRS_1200
gene-NRS_711	2273	3277	3090	3920	2057	2749	2812	4106	1271	2182	2665	2346	954	1927	1693	2409	1243	1294	951	933	2126	1528	1556	1237	2394	1450	1238	1194	host	gene-NRS_711
gene-NRS_2043	826	529	463	512	909	277	426	664	691	356	374	387	288	555	950	576	459	568	303	331	462	444	619	424	447	264	283	238	host	gene-NRS_2043
gene-NRS_1711	89	123	86	120	135	61	73	112	51	61	55	78	29	53	67	53	46	41	7	34	78	43	84	41	55	45	49	49	host	gene-NRS_1711
gene-NRS_250	48	38	26	44	53	35	31	41	47	26	23	21	15	15	52	15	20	24	8	11	29	6	31	24	19	26	8	9	host	gene-NRS_250
gene-NRS_990	2083	515	454	495	2163	472	486	628	1184	468	384	459	310	484	914	519	268	443	331	309	309	257	390	241	366	170	161	157	host	gene-NRS_990
gene-NRS_1484	423	1013	374	436	586	300	454	523	278	251	282	308	91	142	263	209	129	138	61	94	208	133	203	118	176	127	116	116	host	gene-NRS_1484
gene-NRS_1678	10966	9439	8182	12523	12439	9365	9568	12652	7509	5812	7339	5686	2914	7711	8693	6112	4554	4853	3496	3426	5588	4397	5177	3921	4482	2741	3029	2636	host	gene-NRS_1678
gene-CPT_phageK_gp201	285	715	468	385	4487	3314	3767	6371	19452	20457	21619	25382	37538	37554	54251	38954	22505	28451	16966	16358	12494	14027	17753	12337	7219	5363	6185	4811	phage	gene-CPT_phageK_gp201
gene-NRS_971	262	209	204	223	313	157	151	232	182	142	139	141	63	89	212	134	106	83	18	44	151	100	125	100	161	89	54	46	host	gene-NRS_971
gene-NRS_349	1192	1336	894	1106	1068	688	793	1130	774	599	660	596	259	568	1074	666	579	416	236	294	692	490	557	364	587	405	404	313	host	gene-NRS_349
gene-NRS_1528	33	38	51	24	39	26	25	38	17	24	29	41	21	12	26	8	13	9	13	13	18	5	13	16	15	10	7	7	host	gene-NRS_1528
gene-NRS_2274	221	145	140	122	143	129	148	191	119	129	131	91	55	86	96	48	57	54	25	26	86	53	71	54	70	63	38	35	host	gene-NRS_2274
gene-NRS_1030	5746	5541	4975	6137	6064	3404	4221	6459	4000	2701	3270	3128	1550	2938	4979	3317	2537	2444	1292	1529	3127	2217	2572	2079	3344	1745	1646	1383	host	gene-NRS_1030
gene-NRS_2464	591	433	396	421	659	337	346	421	430	228	268	242	88	191	377	189	144	170	86	81	177	155	219	139	152	101	83	62	host	gene-NRS_2464
gene-NRS_790	29722	18697	16081	19867	22775	7260	12879	20051	15733	8690	9457	8556	4225	7647	20390	14661	14204	9065	6521	7403	19328	10355	12914	10545	26973	15791	11294	11044	host	gene-NRS_790
gene-NRS_1809	548	903	827	1631	654	907	1033	1084	315	408	731	600	238	752	530	414	313	371	167	229	521	343	514	430	406	409	279	212	host	gene-NRS_1809
gene-NRS_2339	1151	1154	1039	1039	1162	883	1004	1239	788	865	975	836	405	634	741	516	319	422	179	232	408	360	409	314	283	226	211	168	host	gene-NRS_2339
gene-NRS_1021	1182	1457	1268	1026	848	934	1031	1426	448	1079	1008	957	392	322	317	270	156	207	96	97	210	149	234	175	285	109	126	109	host	gene-NRS_1021
gene-NRS_1968	2214	2800	2535	2439	1855	2114	1994	2613	1257	1513	1993	1462	1016	1648	1705	1879	921	1334	1045	898	1069	1257	1696	1008	1076	840	1032	753	host	gene-NRS_1968
gene-NRS_235	198	171	177	264	197	152	168	220	117	95	145	115	48	143	154	132	75	85	78	54	122	95	138	59	98	131	91	68	host	gene-NRS_235
gene-NRS_2079	2241	1992	1754	1939	2358	1337	1626	2115	1393	1210	1359	1217	570	857	1448	1046	697	776	481	559	950	635	919	701	900	647	513	557	host	gene-NRS_2079
gene-NRS_2660	330	389	248	309	389	279	362	414	215	223	274	274	127	149	222	114	102	122	73	73	134	116	172	101	129	90	68	70	host	gene-NRS_2660
gene-NRS_1456	20	29	47	32	22	33	24	35	10	13	22	18	8	21	30	9	8	13	13	11	15	12	24	18	13	18	19	12	host	gene-NRS_1456
gene-NRS_527	5970	4934	4053	4651	5101	3602	3874	5532	3122	2672	2884	2465	1115	1983	2849	1766	1328	1395	659	734	1620	1258	1436	1026	1648	822	822	720	host	gene-NRS_527
gene-CPT_phageK_gp037	4919	5622	5786	5812	20726	17396	20307	26361	22650	24789	26671	23704	10830	14874	22704	16866	9289	11697	3465	5054	14832	9519	12291	7920	7362	5883	4737	4054	phage	gene-CPT_phageK_gp037
gene-NRS_1938	4711	3750	3397	2821	4455	2380	2724	3637	2612	2265	2026	2036	881	1272	2177	1304	884	1145	519	662	1167	945	1254	931	1248	591	648	585	host	gene-NRS_1938
gene-NRS_53	542	544	540	591	537	450	545	628	394	399	484	429	200	358	491	278	224	304	147	186	317	239	341	234	236	183	203	149	host	gene-NRS_53
gene-NRS_1892	11807	8095	6987	6964	11076	6286	7451	8510	7388	4694	4644	4332	1988	2798	6353	2748	2617	2899	1979	1501	3009	2394	2857	2097	2709	1628	1579	1407	host	gene-NRS_1892
gene-NRS_521	20044	17735	14455	17277	20561	11526	13756	18705	12732	9050	10420	10193	5109	10998	17116	10412	8702	8272	4894	6062	9888	7561	9942	6857	8749	5154	5601	4720	host	gene-NRS_521
gene-NRS_726	2321	1992	1768	1818	2474	1412	1577	2049	1476	1136	1191	1074	500	815	1535	777	684	690	456	547	863	623	758	636	828	455	531	410	host	gene-NRS_726
gene-NRS_1412	51	36	39	13	23	18	30	36	19	27	22	23	10	7	25	11	8	18	4	5	18	15	18	19	29	10	14	10	host	gene-NRS_1412
gene-CPT_phageK_gp128	208	1007	378	306	2291	1361	2783	4932	17589	25388	27595	33811	95432	105926	158938	117354	124704	164685	68605	81757	87974	86719	121070	82555	49946	35432	37158	34603	phage	gene-CPT_phageK_gp128
gene-NRS_2426	6366	6865	6491	8214	6544	6515	6459	8825	3915	4098	4934	4322	1879	4333	4511	3986	2360	2643	2058	2020	2908	2462	3055	2169	2734	1872	1883	1632	host	gene-NRS_2426
gene-NRS_409	31	41	42	43	39	36	39	46	16	17	35	36	15	21	33	20	22	29	7	16	25	42	26	25	34	30	39	25	host	gene-NRS_409
gene-NRS_96	1030	796	728	843	1009	628	670	875	677	483	527	493	279	522	762	445	394	346	175	228	453	410	465	338	435	217	239	230	host	gene-NRS_96
gene-NRS_2271	21712	19253	16525	20474	19569	14826	16110	20413	9780	9593	9700	8660	3770	6048	7280	3966	3152	3273	1532	1745	3793	3014	3451	2743	3837	2378	1962	1742	host	gene-NRS_2271
gene-NRS_2296	1425	1530	1210	1265	1862	935	1073	1458	964	682	773	741	340	543	1128	523	543	499	239	305	699	437	633	434	624	347	331	340	host	gene-NRS_2296
gene-NRS_1866	3385	5580	5283	8935	3647	5182	5277	5079	2015	3073	4680	3855	1250	2104	1653	1317	899	927	1137	844	1430	1009	1183	945	1195	1300	819	705	host	gene-NRS_1866
gene-CPT_phageK_gp049	146	351	270	275	3397	3142	3564	5834	16742	20013	21997	23349	17165	19762	29463	17512	6301	7866	6042	5476	3943	4016	5583	3695	2427	1827	2463	1880	phage	gene-CPT_phageK_gp049
gene-NRS_657	1247	1071	1060	981	1308	789	905	1176	696	654	723	630	343	460	684	432	324	453	176	230	484	398	515	387	479	297	269	231	host	gene-NRS_657
gene-NRS_1698	1230	1089	906	1157	1279	757	718	973	735	473	528	556	246	642	1010	391	471	502	99	172	540	404	489	378	506	314	304	201	host	gene-NRS_1698
gene-NRS_1837	1569	1417	1250	1090	1308	1015	1121	1485	822	939	931	896	379	416	653	400	284	315	178	194	432	360	434	283	365	228	206	185	host	gene-NRS_1837
gene-NRS_2469	1924	1309	1133	1233	1883	947	952	1431	1177	788	780	696	352	666	1108	609	450	474	182	272	483	394	466	324	429	229	230	224	host	gene-NRS_2469
gene-NRS_225	645	722	828	705	497	507	519	801	260	523	550	504	292	376	303	298	198	272	85	130	347	205	311	213	343	232	154	130	host	gene-NRS_225
gene-NRS_1265	917	836	814	772	842	654	711	973	508	561	547	502	248	448	510	363	312	376	256	270	391	319	407	307	390	233	237	267	host	gene-NRS_1265
gene-NRS_1049	34265	66453	65097	74658	28847	48264	52751	73463	13408	34338	41773	37719	13798	22757	18017	23100	11738	14939	8243	9115	18009	14897	18957	12939	21264	11457	11983	10986	host	gene-NRS_1049
gene-NRS_672	5483	5625	5387	7145	5511	4334	4512	6612	3307	2943	3540	3231	1466	3390	4160	3455	2081	2140	1522	1546	2579	1995	2431	1894	2985	1588	1739	1410	host	gene-NRS_672
gene-NRS_1600	9616	8168	7992	8605	9917	6100	6344	9055	5395	4185	4291	3995	1918	3227	5751	3890	2805	2616	1224	1483	3441	2711	3211	2357	4269	2196	2073	1728	host	gene-NRS_1600
gene-NRS_146	11474	13279	9482	11100	10002	4825	8366	12437	5405	5151	4741	5232	1957	2533	5273	5082	3610	3077	845	1534	4571	2825	3666	2961	5786	3517	2302	2246	host	gene-NRS_146
gene-NRS_19	664	275	248	262	776	219	229	306	565	173	167	215	124	332	743	356	239	348	81	128	313	228	308	206	224	158	116	110	host	gene-NRS_19
gene-NRS_100	289	245	218	186	304	158	217	222	168	175	168	174	109	101	169	74	66	68	53	40	94	82	125	79	95	60	54	49	host	gene-NRS_100
gene-NRS_1166	30617	29800	25833	33607	29524	24120	26354	34380	16996	16849	20455	17134	7450	15969	19465	15495	9568	10456	7538	7806	12464	10383	11843	8541	11588	7820	7379	6673	host	gene-NRS_1166
