Geneid	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R2	20_R3	Entity	Symbol
gene-AUO97_RS16960	0	0	0	0	0	0	0	0	host	gene-AUO97_RS16960
gene-AUO97_RS12685	92	67	62	108	82	89	39	56	host	gene-AUO97_RS12685
gene-AUO97_RS01040	1862	1629	1503	2177	2018	2043	1977	1921	host	gene-AUO97_RS01040
gene-AUO97_RS00645	13	11	13	13	14	13	4	4	host	gene-AUO97_RS00645
gene-AUO97_RS18805	20	20	17	20	19	14	18	18	host	gene-AUO97_RS18805
gene-AUO97_RS01920	99	76	84	127	105	103	92	126	host	gene-AUO97_RS01920
gene-AUO97_RS15830	613	516	531	665	646	806	467	523	host	gene-AUO97_RS15830
gene-AUO97_RS16955	0	0	0	0	1	0	0	0	host	gene-AUO97_RS16955
gene-AUO97_RS17035	9	12	7	17	9	20	8	19	host	araD1
gene-AUO97_RS18485	50	55	83	61	60	92	75	186	host	gene-AUO97_RS18485
gene-AUO97_RS06995	39	52	49	58	49	50	48	53	host	gene-AUO97_RS06995
gene-AUO97_RS06215	4817	4058	4456	6428	6612	7073	4688	5755	host	gene-AUO97_RS06215
gene-AUO97_RS00600	1534	1237	1379	1817	1998	1909	1223	1465	host	metF
gene-AUO97_RS07830	0	0	0	0	0	0	0	0	host	gene-AUO97_RS07830
gene-AUO97_RS03670	0	0	0	0	1	0	1	0	host	gene-AUO97_RS03670
gene-AUO97_RS12805	0	0	0	1	0	0	0	0	host	gene-AUO97_RS12805
gene-AUO97_RS15260	840	757	817	875	1063	1026	511	633	host	gene-AUO97_RS15260
gene-AUO97_RS12695	184	128	123	169	161	151	141	171	host	gene-AUO97_RS12695
gene-AUO97_RS18080	104	100	63	100	83	92	88	103	host	gene-AUO97_RS18080
gene-AUO97_RS10330	104	111	100	105	132	122	105	126	host	mazG
gene-AUO97_RS02645	2063	1634	1854	2114	2074	2130	1234	1346	host	gene-AUO97_RS02645
gene-M172_gp48	0	0	0	0	0	0	0	0	phage	gene-M172_gp48
gene-AUO97_RS09270	575	542	535	674	661	705	514	590	host	gspF
gene-AUO97_RS08150	0	0	0	0	0	0	0	0	host	gene-AUO97_RS08150
gene-AUO97_RS08000	0	0	0	0	0	0	0	0	host	gene-AUO97_RS08000
gene-AUO97_RS10760	575	572	567	757	807	671	560	417	host	gene-AUO97_RS10760
gene-AUO97_RS09605	193	223	219	224	241	265	216	184	host	gene-AUO97_RS09605
gene-AUO97_RS10590	2507	1629	1620	2908	2330	2085	1477	2103	host	raiA
gene-AUO97_RS14640	1	2	0	3	6	4	1	4	host	gene-AUO97_RS14640
gene-AUO97_RS16150	177	147	142	178	189	219	142	60	host	gene-AUO97_RS16150
gene-AUO97_RS19110	380	271	154	399	354	246	347	271	host	gene-AUO97_RS19110
gene-AUO97_RS03090	407	277	217	454	425	303	375	447	host	gene-AUO97_RS03090
gene-AUO97_RS10785	16	13	4	13	20	14	10	16	host	gene-AUO97_RS10785
gene-AUO97_RS02490	14284	12921	15360	19088	19530	20349	18008	22327	host	gene-AUO97_RS02490_gene_lpdA
gene-AUO97_RS02585	1508	1310	1444	1716	1929	1946	1083	1537	host	gene-AUO97_RS02585
gene-AUO97_RS02080	1376	1202	1180	1779	1785	1749	2317	2697	host	gene-AUO97_RS02080
gene-AUO97_RS15015	358	302	286	362	308	394	181	276	host	gene-AUO97_RS15015
gene-AUO97_RS06910	0	0	0	0	0	0	0	1	host	gene-AUO97_RS06910
gene-AUO97_RS10625	198	182	223	265	230	376	145	236	host	gene-AUO97_RS10625
gene-AUO97_RS12390	118	84	62	126	119	84	148	157	host	gene-AUO97_RS12390
gene-AUO97_RS00775	63	67	59	74	86	88	117	156	host	basJ
gene-AUO97_RS01800	0	0	0	0	0	0	0	0	host	gene-AUO97_RS01800
gene-AUO97_RS00855	42	32	35	55	38	46	56	89	host	basA
