Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-AUO97_RS15740	4.008698056223483	3.5923846659143464	0.3534637587169926	0.8334979594348496	0.2160476381694833	0.09003828766839157	host	gene-AUO97_RS15740	None	None	1.7665744987921832
gene-AUO97_RS16890	0.06926794435386166	0.06735721248589399	0.06229798747386995	0.048968005116797414	0.06346399371228571	0.07934624100777007	host	gene-AUO97_RS16890	None	None	0.0012699967491313054
gene-AUO97_RS18565	0.09779003908780469	0.031697511758067766	0.029316699987703504	0.023043767113787018	0.029865408805781514	0.03733940753306827	host	gene-AUO97_RS18565	None	None	0.015685010755505574
gene-M172_gp02	26896.123802463444	29591.198613441284	14417.60998618677	13772.63693190551	3207.9833553595727	3464.8984051988787	phage	gene-M172_gp02	early	early	6875.419896972674
gene-AUO97_RS02090	470.93729017585696	354.78918283089854	155.67257346987344	147.47306250465473	110.20609843909578	97.7196274576427	host	gene-AUO97_RS02090	None	None	87.89360759187066
gene-AUO97_RS00385	15.388140253380959	11.150209328434144	4.485455098118636	3.5859646823993185	3.1634359942739345	1.8066528721769186	host	gene-AUO97_RS00385	None	None	3.695758672910201
gene-AUO97_RS16445	0.04015533006020965	0.03904765941211246	0.03611477534717098	0.028387249343070964	0.0367907209926294	0.04599782087406961	host	gene-AUO97_RS16445	None	None	0.0007362299994964092
gene-AUO97_RS00790	1.8124244086574328	1.357273153851097	0.468405920856165	0.45654380710397585	0.2481299002284855	0.1670447179110949	host	barB	None	None	0.4999382448781166
gene-AUO97_RS08750	18.362796228709993	11.657640435467144	4.071763887181042	2.995689724792312	2.5551516422724183	1.7010174542842214	host	hemC	None	None	5.398115393568186
gene-AUO97_RS14880	17.884858425060134	13.362214585039512	3.288884744116017	2.920434179037828	2.4356451640931276	1.6727045401638017	host	glnD	None	None	5.739359339243325
gene-AUO97_RS13715	9.964531496165495	7.710186136707322	2.06812366579922	1.4657089966932557	1.0016086082483187	0.8492386792668363	host	mutS	None	None	3.3941080321110015
gene-AUO97_RS14090	7.413046230188108	4.353684727565069	1.9143222640977253	2.023578489594807	1.6811653963519395	2.1018871790137768	host	soxR	None	None	1.3145019200203834
