Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS08540	405	516	42	59	33	15	6	6	host	yidD
gene-TX72_RS14555	58	30	10	16	9	2	3	3	host	gene-TX72_RS14555
gene-TX72_RS11525	36	45	8	9	6	5	3	0	host	purE
gene-TX72_RS06455	134	128	10	34	17	12	4	6	host	gene-TX72_RS06455
gene-TX72_RS06700	110	115	10	26	11	6	5	3	host	gene-TX72_RS06700
gene-TX72_RS11450	287	252	46	72	35	15	4	9	host	gene-TX72_RS11450
gene-TX72_RS09970	692	672	102	141	65	29	21	20	host	psbM
gene-TX72_RS08235	240	186	102	173	26	35	65	64	host	gene-TX72_RS08235
gene-TX72_RS10900	170	170	24	32	8	5	7	4	host	gene-TX72_RS10900
gene-TX72_RS06515	368	329	51	76	33	14	6	8	host	gene-TX72_RS06515
gene-TX72_RS08170	211	219	25	49	28	8	3	3	host	mnmA
gene-TX72_RS13720	158	134	47	72	24	23	5	7	host	gene-TX72_RS13720
gene-TX72_RS07435	223	234	31	46	18	12	6	8	host	glk
gene-TX72_RS09075	84	93	12	23	15	2	1	3	host	gene-TX72_RS09075
gene-TX72_RS06860	89	75	18	41	15	10	4	4	host	gene-TX72_RS06860
gene-TX72_RS10575	24	22	7	13	4	3	2	1	host	gene-TX72_RS10575
gene-TX72_RS11775	102	104	9	25	11	5	4	4	host	gene-TX72_RS11775
gene-TX72_RS01490	111	96	19	19	12	9	2	7	host	gene-TX72_RS01490
gene-TX72_RS03875	230	243	39	52	28	18	5	7	host	gene-TX72_RS03875
gene-TX72_RS09210	199	224	41	68	26	10	12	9	host	gene-TX72_RS09210
gene-TX72_RS14395	167	174	21	32	14	4	3	0	host	gene-TX72_RS14395
gene-TX72_RS14465	90	75	10	19	6	2	3	0	host	gene-TX72_RS14465
gene-TX72_RS09615	48	52	6	13	5	2	2	2	host	bsmB
gene-TX72_RS10655	175	176	41	55	16	8	3	4	host	gene-TX72_RS10655
gene-TX72_RS09785	417	323	102	113	47	19	36	24	host	gene-TX72_RS09785
gene-TX72_RS12705	276	254	57	65	42	14	25	30	host	gene-TX72_RS12705
gene-TX72_RS04105	496	481	49	108	38	21	7	17	host	gene-TX72_RS04105
gene-TX72_RS06525	390	445	56	119	53	27	12	12	host	gene-TX72_RS06525
gene-TX72_RS03250	267	275	24	53	18	12	8	10	host	hpf
gene-TX72_RS04320	111	107	12	23	12	5	4	3	host	gene-TX72_RS04320
gene-TX72_RS11325	126	123	20	28	12	8	6	2	host	radA
gene-TX72_RS04315	105	95	19	30	5	6	2	3	host	gene-TX72_RS04315
gene-TX72_RS08755	938	848	139	204	83	56	25	22	host	gene-TX72_RS08755
gene-TX72_RS13110	652	654	196	303	135	78	26	42	host	gene-TX72_RS13110
gene-TX72_RS13620	34	31	5	2	2	4	2	0	host	gene-TX72_RS13620
gene-TX72_RS08650	7268	8102	892	1488	634	336	147	184	host	gene-TX72_RS08650
gene-TX72_RS11935	892	698	97	208	89	42	14	21	host	gene-TX72_RS11935
gene-TX72_RS02525	41	41	7	18	11	2	2	3	host	gene-TX72_RS02525
gene-TX72_RS05765	256	172	187	151	45	85	47	51	host	gene-TX72_RS05765
gene-TX72_RS10370	197	228	29	49	20	7	11	9	host	gene-TX72_RS10370
gene-TX72_RS12430	507	444	87	99	46	10	10	16	host	gene-TX72_RS12430
gene-TX72_RS07240	331	361	35	79	32	14	9	14	host	gene-TX72_RS07240
gene-TX72_RS00455	157	145	14	29	18	7	3	7	host	gene-TX72_RS00455
gene-TX72_RS01440	155	173	30	50	15	10	4	2	host	gene-TX72_RS01440
gene-TX72_RS07385	60566	65715	9259	15722	7227	3601	1673	2090	host	gene-TX72_RS07385_gene_psbA
gene-TX72_RS00365	83	78	12	32	11	2	2	2	host	gene-TX72_RS00365
gene-TX72_RS10940	157	170	16	30	13	10	2	1	host	gene-TX72_RS10940
gene-TX72_RS03730	364	276	44	71	26	13	3	8	host	gene-TX72_RS03730
gene-TX72_RS06380	245	242	50	61	28	17	7	8	host	pstB
gene-TX72_RS05890	92	87	17	23	5	7	2	5	host	gene-TX72_RS05890
gene-TX72_RS11235	148	123	28	45	24	6	3	10	host	gene-TX72_RS11235
