Geneid	0	5	15	30	60	120	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-MSMEI_RS00115	17.13054504256791	27.119704549931498	12.436205610902613	1.7821069225086936	4.388804304465852	1.915235311390051	host	gene-MSMEI_RS00115	None	None	8.831905202528668
gene-MSMEI_RS18830	1.159185651795462	8.287378164580705	2.3735459465568307	2.4033546568983475	1.5929734142135312	0.930230025942058	host	gene-MSMEI_RS18830	None	None	3.0147480772049646
gene-MSMEI_RS09190	30.37075416779938	13.215058206452477	5.946099639312473	6.020775068312355	8.63955389233633	2.330370064988867	host	gene-MSMEI_RS09190	None	None	12.755305168039344
gene-MSMEI_RS20740	45.74084610227447	35.755631611747376	6.76188230230186	11.916667340511458	3.5805025429426665	5.651147407598002	host	mraY	None	None	15.402637955645325
gene-MSMEI_RS25020	20.02372917666183	18.491494844289445	12.738279926078798	5.986685600159813	6.264086802811933	1.3699751291146671	host	gene-MSMEI_RS25020	None	None	5.194597324238432
gene-MSMEI_RS21360	22.087768526009825	22.240602057033083	13.337648864643828	3.999202931280847	1.5671762739023811	0.9151655720806481	host	gene-MSMEI_RS21360	None	None	12.346444410465681
gene-MSMEI_RS03825	24.256107679290032	22.253346454558702	16.73422690193615	3.4353834213311676	2.2770149391405186	1.3296817429642358	host	gene-MSMEI_RS03825	None	None	8.735615914189877
gene-MSMEI_RS19500	8.00436345810299	10.094871845442398	6.217923688612226	2.14711463833198	1.423134336962824	0.8310510893526474	host	gene-MSMEI_RS19500	None	None	3.424591057528525
gene-MSMEI_RS10730	5.669296585907353	17.544173443305144	8.1840197610489	1.4860437191508868	0.9849682942847027	1.2008822652384974	host	gene-MSMEI_RS10730	None	None	6.407230720344632
gene-MSMEI_RS34965	13.82182114551084	16.86658744770908	7.5891008554382875	7.684410284556559	11.026799046797684	5.687327039170407	host	gene-MSMEI_RS34965	None	None	6.352376202247797
gene-MSMEI_RS04315	2.6001425851042823	1.1261111507188013	1.7746820461947996	1.7969697896193801	1.1910539681658097	0.6955258347812926	host	gene-MSMEI_RS04315	None	None	0.4534069214340356
gene-MSMEI_RS24330	34.49781203085337	26.033761812907887	5.865662446842016	9.581482165684294	3.157037471373015	5.023242140087113	host	gene-MSMEI_RS24330	None	None	13.954548488662875
gene-MSMEI_RS09415	5.214807701730804	1.6866272143995906	2.3825951200411604	1.4673748282067802	0.9725943207384125	0.5679545133264324	host	gene-MSMEI_RS09415	None	None	2.863615695745648
gene-MSMEI_RS27855	59.05323351606917	43.52116590905659	6.529490547320489	6.611492622184511	12.182740618451328	2.4091615609433275	host	gene-MSMEI_RS27855	None	None	24.035939833563603
