Geneid	15	60	180	300	420	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0072	0.0	0.0	0.0	0.0	0.0	host	asd	None	None	16.81489650548051
gene-SynWH7803_2271	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2271	None	None	76.29735477415302
gene-SynWH7803_0929	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0929	None	None	7.433062864580301
gene-SynWH7803_2022	0.0	0.0	0.0	0.0	0.0	host	atpI	None	None	347.4850641720681
gene-SynWH7803_0619	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0619	None	None	32.183728523328966
gene-SynWH7803_0224	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0224	None	None	19.187484957370483
gene-SynWH7803_2079	0.0	0.0	0.0	0.0	0.0	host	infB	None	None	44.07603425684023
gene-SynWH7803_0428	0.0	0.0	0.0	0.0	0.0	host	rpsC	None	None	471.9936214514232
gene-SynWH7803_1920	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1920	None	None	42.57641823973087
gene-SynWH7803_2490	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2490	None	None	7.039213454705371
gene-SynWH7803_1428	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1428	None	None	51.09839253713197
gene-SynWH7803_0411	0.0	0.0	0.0	0.0	0.0	host	rpoA	None	None	432.0730539835715
gene-SynWH7803_0736	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0736	None	None	14.327785430093787
gene-SynWH7803_0697	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0697	None	None	7.012548570809742
gene-SynWH7803_1286	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1286	None	None	12.352269902178433
gene-SynWH7803_1577	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1577	None	None	10.687317204366934
gene-SynWH7803_1238	0.0	0.0	0.0	0.0	0.0	host	htpG	None	None	26.136941170264425
gene-SynWH7803_0161	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0161	None	None	2.738093187905526
gene-SynWH7803_2275	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2275	None	None	59.27851635693958
