Geneid	30	480	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_1247	0.0	0.0	host	dnaJ	None	None	0.10614948830835941
gene-SynWH7803_1922	0.0	0.0	host	gene-SynWH7803_1922	None	None	0.08301550574654049
gene-SynWH7803_0857	0.0	0.0	host	gene-SynWH7803_0857	None	None	0.1547952649364951
gene-SynWH7803_1700	0.0	0.0	host	gene-SynWH7803_1700	None	None	0.24561832412914802
gene-RNA_34	0.0	0.0	host	gene-RNA_34	None	None	0.22792392154772703
gene-SynWH7803_1960	0.0	0.0	host	purC	None	None	3.1898708625535277
gene-SynWH7803_1041	0.0	0.0	host	gene-SynWH7803_1041	None	None	0.004597697088319003
gene-SynWH7803_2199	0.0	0.0	host	tolC	None	None	0.005101549294563863
gene-SynWH7803_0038	0.0	0.0	host	gene-SynWH7803_0038	None	None	2.6670469909019063
gene-SynWH7803_0325	0.0	0.0	host	gene-SynWH7803_0325	None	None	0.043411889197820006
gene-SynWH7803_0178	0.0	0.0	host	gene-SynWH7803_0178	None	None	5.437362169101815
gene-SynWH7803_0397	0.0	0.0	host	psaI	None	None	20.030570243379564
gene-SynWH7803_2194	0.0	0.0	host	xseB	None	None	1.314569671285961
gene-SynWH7803_1950	0.0	0.0	host	gene-SynWH7803_1950	None	None	0.46290012224211025
gene-SynWH7803_1603	0.0	0.0	host	gene-SynWH7803_1603	None	None	8.125651097958567
gene-SynWH7803_0914	0.0	0.0	host	gene-SynWH7803_0914	None	None	1.4303498990569876
gene-SynWH7803_0321	0.0	0.0	host	cobA	None	None	7.931970157241466
gene-SynWH7803_1834	0.0	0.0	host	rplS	None	None	1.3568830879409288
gene-SynWH7803_0599	0.0	0.0	host	gene-SynWH7803_0599	None	None	0.05183579775811108
gene-SynWH7803_1099	0.0	0.0	host	fmt	None	None	0.10048362505094102
gene-SynWH7803_2506	0.0	0.0	host	eriC	None	None	1.1959588673463417
gene-SynWH7803_0008	0.0	0.0	host	gene-SynWH7803_0008	None	None	0.7468146563189846
gene-SynWH7803_0337	0.0	0.0	host	crtR	None	None	0.8913894877025451
gene-RNA_5	0.0	0.0	host	gene-RNA_5	None	None	20.87842312149784
gene-SynWH7803_0906	0.0	0.0	host	gene-SynWH7803_0906	None	None	1.0204144498301304
gene-SynWH7803_1778	0.0	0.0	host	rsmB	None	None	0.08438155234214409
gene-SynWH7803_0398	0.0	0.0	host	gene-SynWH7803_0398	None	None	0.05914939308313966
gene-SynWH7803_0920	0.0	0.0	host	gene-SynWH7803_0920	None	None	8.570200818984217
gene-SynWH7803_1631	0.0	0.0	host	gene-SynWH7803_1631	None	None	21.328965998661293
gene-SynWH7803_2036	0.0	0.0	host	gene-SynWH7803_2036	None	None	33.27298793438464
gene-SynWH7803_2466	0.0	0.0	host	gene-SynWH7803_2466	None	None	0.2485289819001975
gene-RNA_32	0.0	0.0	host	gene-RNA_32	None	None	0.058198971748180756
gene-SynWH7803_2264	0.0	0.0	host	gene-SynWH7803_2264	None	None	0.09498108383234909
gene-SynWH7803_0464	0.0	0.0	host	pex	None	None	71.01074268717959
gene-SynWH7803_2312	0.0	0.0	host	gene-SynWH7803_2312	None	None	142.94863332038923
gene-SynWH7803_2353	0.0	0.0	host	hupE	None	None	7.136885811861401
gene-SynWH7803_1179	0.0	0.0	host	gene-SynWH7803_1179	None	None	2.0890542239637915
gene-SynWH7803_0357	0.0	0.0	host	gene-SynWH7803_0357	None	None	32.32964923696819
gene-SSBP1_gp20	0.0	0.0	phage	gene-SSBP1_gp20	early	early	23.53279251860606
gene-SynWH7803_1925	0.0	0.0	host	gene-SynWH7803_1925	None	None	0.02361752536732768
gene-SynWH7803_2151	0.0	0.0	host	ftrC	None	None	10.381096502632426
gene-SynWH7803_0036	0.0	0.0	host	wcaG	None	None	0.8426043605482465
gene-SynWH7803_0191	0.0	0.0	host	gene-SynWH7803_0191	None	None	0.006178191533496479
gene-SynWH7803_0747	0.0	0.0	host	gene-SynWH7803_0747	None	None	0.39936646034594325
gene-SynWH7803_1919	0.0	0.0	host	gene-SynWH7803_1919	None	None	2.43463644160892
gene-SynWH7803_2202	0.0	0.0	host	gene-SynWH7803_2202	None	None	0.36337440297061385
gene-SynWH7803_1768	0.0	0.0	host	gene-SynWH7803_1768	None	None	5.945347375545821
gene-SynWH7803_0111	0.0	0.0	host	gene-SynWH7803_0111	None	None	0.4862986825637473
gene-SynWH7803_1748	0.0	0.0	host	folC	None	None	0.6458473058257246
gene-SynWH7803_0196	0.0	0.0	host	fabF	None	None	1.2007787538196697
gene-SynWH7803_0975	0.0	0.0	host	gene-SynWH7803_0975	None	None	0.9706861777205744
gene-SynWH7803_2088	0.0	0.0	host	gene-SynWH7803_2088	None	None	0.5409706911658378
gene-SynWH7803_1764	0.0	0.0	host	clpP	None	None	2.8748991774694175
gene-SynWH7803_1250	0.0	0.0	host	gene-SynWH7803_1250	None	None	3.131219865533458
gene-SynWH7803_0400	0.0	0.0	host	gene-SynWH7803_0400	None	None	0.04579417115875436
gene-SynWH7803_1762	0.0	0.0	host	gene-SynWH7803_1762	None	None	0.5294005974919529
gene-SynWH7803_2503	0.0	0.0	host	gene-SynWH7803_2503	None	None	0.7427252649367647
gene-SynWH7803_0785	0.0	0.0	host	gene-SynWH7803_0785	None	None	0.32144339260004157
gene-SynWH7803_0869	0.0	0.0	host	pdc	None	None	0.717170304445828
gene-SSBP1_gp31	0.0	0.0	phage	gene-SSBP1_gp31	early	early	90.03066259410852
gene-SynWH7803_2453	0.0	0.0	host	speE	None	None	1.4364720491406224
gene-SynWH7803_0812	0.0	0.0	host	gene-SynWH7803_0812	None	None	0.0023355651493733795
gene-SynWH7803_1943	0.0	0.0	host	gene-SynWH7803_1943	None	None	0.3939025625945266
gene-SynWH7803_0762	0.0	0.0	host	gene-SynWH7803_0762	None	None	0.008249721528103568
gene-SynWH7803_1693	0.0	0.0	host	gene-SynWH7803_1693	None	None	0.03371743677207993
gene-SynWH7803_0573	0.0	0.0	host	proC	None	None	14.395208598904198
gene-SynWH7803_2000	0.0	0.0	host	atpB	None	None	0.4926000044622836
gene-SynWH7803_1867	0.0	0.0	host	gene-SynWH7803_1867	None	None	1.2675904362354602
gene-SynWH7803_1701	0.0	0.0	host	gene-SynWH7803_1701	None	None	2.750605716567399
gene-SynWH7803_0592	0.0	0.0	host	gene-SynWH7803_0592	None	None	2.9379830481696603
gene-SynWH7803_2103	0.0	0.0	host	gene-SynWH7803_2103	None	None	0.2820875658398451
gene-SynWH7803_2281	0.0	0.0	host	gene-SynWH7803_2281	None	None	1.5698293499421128
gene-SynWH7803_0531	0.0	0.0	host	gene-SynWH7803_0531	None	None	4.6345832722156215e-06
gene-SynWH7803_0898	0.0	0.0	host	gene-SynWH7803_0898	None	None	6.051937984441029
gene-SynWH7803_1884	0.0	0.0	host	ndhB	None	None	0.0069830476071304996
gene-SynWH7803_1368	0.0	0.0	host	gene-SynWH7803_1368	None	None	2.1781735932692605
gene-SynWH7803_1415	0.0	0.0	host	gene-SynWH7803_1415	None	None	1.2313820761031171
gene-SynWH7803_0495	0.0	0.0	host	gene-SynWH7803_0495	None	None	7.263855007510744
gene-SynWH7803_2333	0.0	0.0	host	gene-SynWH7803_2333	None	None	1.7790189487311212
gene-SynWH7803_0584	0.0	0.0	host	queA	None	None	3.5122596725247313
gene-SynWH7803_0177	0.0	0.0	host	lysS	None	None	1.7475044799857555
gene-SynWH7803_1429	0.0	0.0	host	carB	None	None	0.979645457993486
gene-SynWH7803_0444	0.0	0.0	host	gene-SynWH7803_0444	None	None	0.5964263652067194
gene-SynWH7803_0081	0.0	0.0	host	lysC	None	None	0.07791120829411184
