Geneid	30_R1	480_R1	Entity	Symbol
gene-SynWH7803_1064	294	241	host	gene-SynWH7803_1064
gene-SynWH7803_2468	415	383	host	eco
gene-SynWH7803_0716	587	507	host	gene-SynWH7803_0716
gene-SynWH7803_1546	408	419	host	phoR
gene-SynWH7803_0923	137	123	host	gene-SynWH7803_0923
gene-SynWH7803_1001	112	92	host	gene-SynWH7803_1001
gene-SynWH7803_1738	157	180	host	trmU
gene-SynWH7803_1667	159	133	host	gene-SynWH7803_1667
gene-SynWH7803_0209	628	539	host	gene-SynWH7803_0209
gene-SynWH7803_0335	305	275	host	ileS
gene-SynWH7803_1474	109	151	host	gene-SynWH7803_1474
gene-SynWH7803_0437	177	170	host	gene-SynWH7803_0437
gene-SynWH7803_0251	394	314	host	rub
gene-SynWH7803_1029	528	540	host	gene-SynWH7803_1029
gene-SynWH7803_2054	672	559	host	gene-SynWH7803_2054
gene-SynWH7803_1861	209	241	host	fabG
gene-SynWH7803_1633	239	248	host	gene-SynWH7803_1633
gene-SynWH7803_0216	189	152	host	glcF
gene-SynWH7803_1816	313	329	host	gene-SynWH7803_1816
gene-SSBP1_gp28	8	77	phage	gene-SSBP1_gp28
gene-SSBP1_gp35	28	331	phage	gene-SSBP1_gp35
gene-SynWH7803_1249	240	248	host	gene-SynWH7803_1249
gene-SynWH7803_1557	2173	2176	host	gene-SynWH7803_1557
gene-SynWH7803_2257	965	853	host	gene-SynWH7803_2257
gene-SynWH7803_1949	102	108	host	gene-SynWH7803_1949
gene-SynWH7803_0328	265	259	host	gene-SynWH7803_0328
gene-SynWH7803_1792	34	26	host	gene-SynWH7803_1792
gene-SynWH7803_1965	1723	1415	host	kaiB
gene-SynWH7803_2089	134	138	host	gene-SynWH7803_2089
gene-SynWH7803_1998	3720	3854	host	groL1
gene-SynWH7803_0712	772	794	host	gene-SynWH7803_0712
gene-SynWH7803_1983	190	191	host	gene-SynWH7803_1983
gene-SynWH7803_0340	183	166	host	gene-SynWH7803_0340
gene-SynWH7803_0009	1033	1058	host	gene-SynWH7803_0009
gene-SynWH7803_2296	324	311	host	hcrA
gene-SynWH7803_0911	278	320	host	gene-SynWH7803_0911
gene-SynWH7803_2208	2673	2588	host	gene-SynWH7803_2208
gene-SynWH7803_1443	237	225	host	gene-SynWH7803_1443
gene-SynWH7803_1015	416	272	host	gene-SynWH7803_1015
gene-SynWH7803_1858	76	74	host	ispD
gene-SynWH7803_1148	362	420	host	accD
gene-SynWH7803_1400	462	421	host	sbcC
gene-SynWH7803_0128	5155	4459	host	gene-SynWH7803_0128
gene-SynWH7803_0044	2376	1753	host	gene-SynWH7803_0044
gene-SynWH7803_0300	92	79	host	gene-SynWH7803_0300
gene-RNA_40	157	189	host	gene-RNA_40
gene-SynWH7803_0627	623	613	host	gene-SynWH7803_0627
gene-SynWH7803_2405	405	495	host	dfa
gene-SynWH7803_1503	591	307	host	gene-SynWH7803_1503
gene-SynWH7803_1839	214	165	host	gene-SynWH7803_1839
gene-SynWH7803_1937	829	862	host	gene-SynWH7803_1937
gene-SynWH7803_0159	58	57	host	gene-SynWH7803_0159
gene-SynWH7803_0137	225	204	host	gene-SynWH7803_0137
gene-SynWH7803_0846	118	119	host	gene-SynWH7803_0846
gene-SynWH7803_2253	95	95	host	gene-SynWH7803_2253
gene-SynWH7803_1754	133	117	host	gene-SynWH7803_1754
gene-SSBP1_gp07	2	31	phage	gene-SSBP1_gp07
gene-SynWH7803_2222	153	124	host	gene-SynWH7803_2222
gene-SynWH7803_0827	289	355	host	gene-SynWH7803_0827
gene-SynWH7803_0521	2043	1633	host	uspA
gene-SynWH7803_2285	729	724	host	gene-SynWH7803_2285
gene-SSBP1_gp55	9	48	phage	gene-SSBP1_gp55
gene-SynWH7803_2437	135	150	host	gene-SynWH7803_2437
gene-SynWH7803_1137	102	97	host	gene-SynWH7803_1137
gene-SynWH7803_1238	1665	1434	host	htpG
gene-SynWH7803_1990	126	186	host	gene-SynWH7803_1990
gene-SynWH7803_0037	298	225	host	gene-SynWH7803_0037
gene-SynWH7803_1291	2225	1849	host	rpmG
gene-SynWH7803_0262	183	158	host	gene-SynWH7803_0262_gene_phr
gene-SynWH7803_0677	1346	1467	host	csoS1/ccmK1
gene-SynWH7803_1850	1383	1028	host	petC
gene-SynWH7803_0204	70	96	host	rnc
gene-SynWH7803_2037	679	683	host	gene-SynWH7803_2037
gene-SynWH7803_0883	67	63	host	gene-SynWH7803_0883
gene-RNA_10	213	268	host	gene-RNA_10
gene-SynWH7803_0050	589	420	host	gene-SynWH7803_0050
gene-SynWH7803_0734	121	85	host	gene-SynWH7803_0734
gene-SynWH7803_0057	751	628	host	gene-SynWH7803_0057
gene-SynWH7803_2237	518	418	host	gene-SynWH7803_2237
gene-SynWH7803_0362	166	182	host	proV
gene-SynWH7803_2409	350	303	host	gene-SynWH7803_2409
gene-SynWH7803_0927	5658	5462	host	gene-SynWH7803_0927
gene-SynWH7803_1316	764	662	host	gene-SynWH7803_1316
gene-SynWH7803_2276	410	480	host	rbcR
gene-SynWH7803_0622	494	562	host	proS
gene-SynWH7803_2048	202	216	host	bioA
gene-SynWH7803_2223	168	183	host	gene-SynWH7803_2223
gene-SynWH7803_0541	146	159	host	gene-SynWH7803_0541
gene-SynWH7803_1103	454	457	host	gene-SynWH7803_1103
gene-SynWH7803_0959	141	140	host	gene-SynWH7803_0959
gene-SynWH7803_0753	11411	9332	host	petE
gene-SynWH7803_0250	650	595	host	gene-SynWH7803_0250
gene-SynWH7803_0347	418	388	host	gene-SynWH7803_0347
gene-SynWH7803_1564	785	1073	host	gene-SynWH7803_1564
gene-SynWH7803_0645	731	794	host	ilvB
gene-SynWH7803_1361	376	304	host	secF
gene-SynWH7803_0999	297	313	host	gene-SynWH7803_0999
gene-RNA_45	9057	9897	host	ssrA
gene-SynWH7803_0720	1634	1414	host	pyrC
gene-SynWH7803_0278	173	206	host	gene-SynWH7803_0278
gene-SynWH7803_1281	218	221	host	gene-SynWH7803_1281
gene-SynWH7803_0755	695	495	host	hemE
gene-SynWH7803_2069	1270	1693	host	gene-SynWH7803_2069
gene-SynWH7803_1208	193	219	host	gene-SynWH7803_1208
gene-SynWH7803_1114	1945	1812	host	gene-SynWH7803_1114
gene-SynWH7803_0982	290	316	host	gene-SynWH7803_0982
gene-SSBP1_gp04	10	48	phage	gene-SSBP1_gp04
gene-SynWH7803_0488	598	279	host	cpeZ
gene-SynWH7803_1923	103	108	host	gene-SynWH7803_1923
gene-SynWH7803_2263	667	569	host	gene-SynWH7803_2263
gene-SynWH7803_0858	116	136	host	gene-SynWH7803_0858
gene-SynWH7803_1891	724	662	host	pspA
gene-SynWH7803_0878	103	123	host	gene-SynWH7803_0878
gene-SynWH7803_2341	76	114	host	gene-SynWH7803_2341
gene-SynWH7803_0650	122	110	host	gene-SynWH7803_0650
gene-SynWH7803_0054	2554	1556	host	gene-SynWH7803_0054
gene-SynWH7803_0657	521	413	host	gene-SynWH7803_0657
gene-SynWH7803_0385	882	912	host	gltS
gene-SynWH7803_2174	311	394	host	cysH
gene-SynWH7803_2123	80	87	host	gene-SynWH7803_2123
gene-SynWH7803_1268	386	363	host	coaD
gene-SynWH7803_0770	332	334	host	gene-SynWH7803_0770
gene-SynWH7803_1874	804	730	host	gene-SynWH7803_1874
gene-SynWH7803_2471	83	67	host	gene-SynWH7803_2471
gene-SynWH7803_0997	156	178	host	gene-SynWH7803_0997
gene-SynWH7803_2249	808	678	host	plsX
gene-SynWH7803_0148	143	109	host	gene-SynWH7803_0148
gene-SynWH7803_2514	1923	1864	host	dnaK
gene-RNA_15	175	117	host	gene-RNA_15
gene-SynWH7803_2021	1938	1410	host	atpH
gene-SynWH7803_2379	409	384	host	eno
gene-SynWH7803_1936	413	341	host	cphA
gene-SynWH7803_1637	284	262	host	gene-SynWH7803_1637
gene-SynWH7803_0964	217	250	host	gene-SynWH7803_0964
gene-SynWH7803_0465	227	311	host	rnd
gene-SynWH7803_2294	275	285	host	gene-SynWH7803_2294
gene-SynWH7803_1636	671	548	host	gene-SynWH7803_1636
gene-SynWH7803_0539	1937	1744	host	mutM
gene-SynWH7803_0811	177	128	host	gene-SynWH7803_0811
gene-SynWH7803_0574	315	235	host	gene-SynWH7803_0574
gene-SynWH7803_1149	175	156	host	gene-SynWH7803_1149
gene-SynWH7803_1775	533	362	host	gene-SynWH7803_1775
gene-SynWH7803_2304	128	125	host	purE
gene-SynWH7803_2364	3815	2422	host	gspD
gene-SynWH7803_1717	100	95	host	thiS
gene-SynWH7803_1886	599	553	host	gene-SynWH7803_1886
gene-SynWH7803_2131	1347	1204	host	gene-SynWH7803_2131
gene-SynWH7803_0141	792	863	host	secA
gene-SynWH7803_2216	164	119	host	gst
gene-SynWH7803_1018	636	629	host	gene-SynWH7803_1018
gene-SynWH7803_0275	313	319	host	gene-SynWH7803_0275
gene-SynWH7803_2425	175	140	host	gene-SynWH7803_2425
gene-SynWH7803_0257	413	312	host	gene-SynWH7803_0257
gene-SynWH7803_0368	134	92	host	gene-SynWH7803_0368
gene-SynWH7803_1343	315	344	host	gene-SynWH7803_1343
gene-SynWH7803_0953	146	150	host	gene-SynWH7803_0953
gene-SynWH7803_0023	342	337	host	gene-SynWH7803_0023
gene-SynWH7803_2399	59	111	host	gene-SynWH7803_2399
gene-SynWH7803_0168	66	62	host	gene-SynWH7803_0168
gene-SynWH7803_2325	395	477	host	prfB
gene-SynWH7803_1011	239	221	host	gene-SynWH7803_1011
gene-SynWH7803_1442	750	673	host	ubiH
gene-SynWH7803_0635	563	460	host	gene-SynWH7803_0635
gene-SynWH7803_0971	260	230	host	gene-SynWH7803_0971
gene-SynWH7803_1651	86	102	host	gene-SynWH7803_1651
gene-SynWH7803_1901	844	950	host	yidC
gene-SynWH7803_2415	585	474	host	desC
gene-SynWH7803_1170	355	324	host	gene-SynWH7803_1170
gene-SynWH7803_1518	544	509	host	gene-SynWH7803_1518
gene-SynWH7803_1102	2443	2265	host	acsF
gene-SynWH7803_2343	189	217	host	gene-SynWH7803_2343
gene-SynWH7803_0454	787	859	host	ppc%2C pepC
gene-SynWH7803_0246	1099	1055	host	psbJ
gene-SynWH7803_0805	162	153	host	gene-SynWH7803_0805
gene-SynWH7803_2250	294	247	host	fabH
gene-SynWH7803_1225	132	154	host	gene-SynWH7803_1225
gene-SynWH7803_2033	2914	1858	host	gene-SynWH7803_2033
gene-RNA_22	141	139	host	gene-RNA_22
gene-SSBP1_gp44	20	151	phage	gene-SSBP1_gp44
gene-SynWH7803_1239	275	367	host	gene-SynWH7803_1239
gene-SynWH7803_0532	434	416	host	ctp
gene-SynWH7803_0804	186	231	host	gene-SynWH7803_0804
gene-SynWH7803_1559	636	558	host	gene-SynWH7803_1559
gene-SynWH7803_2320	345	296	host	gene-SynWH7803_2320
gene-SynWH7803_2295	80	109	host	pspE
gene-SynWH7803_1480	389	431	host	mfd
gene-SynWH7803_0431	816	1435	host	rplB
gene-SynWH7803_1127	250	241	host	gene-SynWH7803_1127
gene-SynWH7803_0476	128	139	host	rpcF
gene-SynWH7803_0715	1018	943	host	ctaC%2C coxB
gene-SynWH7803_2026	6745	6955	host	apcA
gene-SynWH7803_2057	358	364	host	gene-SynWH7803_2057
gene-SynWH7803_2340	112	125	host	trmE
gene-SynWH7803_2433	227	227	host	tauB
gene-SynWH7803_1085	108	110	host	gene-SynWH7803_1085
gene-SynWH7803_2293	83	50	host	sixA
gene-SynWH7803_1413	214	194	host	gene-SynWH7803_1413
gene-SynWH7803_0027	375	316	host	murB
gene-SynWH7803_0299	187	231	host	gene-SynWH7803_0299
gene-SynWH7803_0068	105	89	host	gene-SynWH7803_0068
gene-SynWH7803_1903	224	210	host	gene-SynWH7803_1903
gene-SynWH7803_0317	111	79	host	gene-SynWH7803_0317
gene-SynWH7803_2195	649	589	host	gene-SynWH7803_2195
gene-SynWH7803_0115	180	144	host	gene-SynWH7803_0115
gene-SynWH7803_1773	36	46	host	gene-SynWH7803_1773
gene-SynWH7803_2236	13557	28309	host	gene-SynWH7803_2236
gene-SynWH7803_1783	325	313	host	gene-SynWH7803_1783
gene-SynWH7803_1309	4065	4152	host	gene-SynWH7803_1309
gene-SynWH7803_2032	201	190	host	gene-SynWH7803_2032
gene-SynWH7803_1588	302	237	host	crtL
gene-SynWH7803_1806	549	711	host	gene-SynWH7803_1806
gene-SynWH7803_0095	5825	2826	host	gene-SynWH7803_0095
gene-SynWH7803_2029	902	684	host	ftsW
gene-SynWH7803_0611	5043	4126	host	gene-SynWH7803_0611_gene_rpoD
gene-SynWH7803_1512	138	149	host	gene-SynWH7803_1512
gene-SynWH7803_1244	463	341	host	pstA
gene-SynWH7803_1207	704	648	host	gene-SynWH7803_1207
gene-SynWH7803_2469	73	47	host	exsB
gene-SynWH7803_1496	2689	1848	host	gene-SynWH7803_1496
gene-SynWH7803_1276	298	300	host	ilvE
gene-SynWH7803_0974	81	57	host	gene-SynWH7803_0974
gene-SynWH7803_1110	1124	914	host	gene-SynWH7803_1110
gene-SynWH7803_1952	1030	835	host	gene-SynWH7803_1952
gene-SynWH7803_2168	280	254	host	gene-SynWH7803_2168
gene-SynWH7803_2020	2253	1669	host	atpG
gene-SynWH7803_2299	473	469	host	trpB
gene-SynWH7803_0274	442	353	host	solA
gene-SynWH7803_0164	275	264	host	gene-SynWH7803_0164
gene-SynWH7803_0310	704	546	host	psbI
gene-SynWH7803_1893	326	339	host	gene-SynWH7803_1893
gene-SynWH7803_2444	128	104	host	gene-SynWH7803_2444
gene-SynWH7803_2212	667	547	host	gene-SynWH7803_2212
gene-SynWH7803_1013	64	48	host	gene-SynWH7803_1013
gene-SynWH7803_2424	352	243	host	gene-SynWH7803_2424
gene-SynWH7803_2062	4034	4408	host	rpoB
gene-SynWH7803_2279	374	340	host	gene-SynWH7803_2279
gene-SynWH7803_0192	531	392	host	rfbB
gene-SynWH7803_0291	1171	948	host	gene-SynWH7803_0291
gene-SynWH7803_1028	582	605	host	murF
gene-SynWH7803_0731	300	224	host	gene-SynWH7803_0731
gene-SynWH7803_0873	126	135	host	gene-SynWH7803_0873
gene-SynWH7803_1284	462	411	host	gene-SynWH7803_1284
gene-SSBP1_gp22	12	98	phage	gene-SSBP1_gp22
gene-SynWH7803_1994	440	340	host	pyR
gene-SynWH7803_1129	170	170	host	gene-SynWH7803_1129
gene-SynWH7803_2182	274	360	host	gene-SynWH7803_2182
gene-SynWH7803_0403	332	274	host	alr
gene-SynWH7803_1675	471	333	host	gene-SynWH7803_1675
gene-SynWH7803_0100	22	25	host	gene-SynWH7803_0100
gene-SynWH7803_0856	65	80	host	gene-SynWH7803_0856
gene-SynWH7803_0789	449	458	host	gapA%2C gap1
gene-SynWH7803_0604	101	135	host	gene-SynWH7803_0604
gene-SynWH7803_0003	369	464	host	purL
gene-SynWH7803_1772	80	91	host	ubiE
gene-SynWH7803_0581	335	221	host	gene-SynWH7803_0581
gene-SynWH7803_2140	257	316	host	gene-SynWH7803_2140
gene-SynWH7803_1206	317	317	host	purK
gene-SynWH7803_0145	1560	1379	host	infC
gene-SynWH7803_1079	77	69	host	gene-SynWH7803_1079
gene-SynWH7803_1924	131	132	host	gene-SynWH7803_1924
gene-SynWH7803_1039	279	248	host	gene-SynWH7803_1039
gene-SynWH7803_0093	2620	1102	host	gene-SynWH7803_0093
gene-SynWH7803_0586	182	196	host	metB
gene-SSBP1_gp02	1	12	phage	gene-SSBP1_gp02
gene-SynWH7803_1875	1209	820	host	gene-SynWH7803_1875
gene-SynWH7803_0022	417	375	host	grpE
gene-SynWH7803_0078	168	184	host	gene-SynWH7803_0078
gene-SynWH7803_0293	278	351	host	purH
gene-SynWH7803_0127	885	808	host	gene-SynWH7803_0127
gene-SynWH7803_1426	262	282	host	gene-SynWH7803_1426
gene-SynWH7803_0432	364	593	host	rplW
gene-SynWH7803_2074	289	287	host	aslB
gene-SynWH7803_1106	763	862	host	vacB
gene-SynWH7803_2162	438	446	host	gene-SynWH7803_2162
gene-SynWH7803_0364	286	272	host	proX
gene-SynWH7803_0876	97	131	host	gene-SynWH7803_0876
gene-RNA_35	71	80	host	gene-RNA_35
gene-SynWH7803_1841	1171	1090	host	pilT
gene-SynWH7803_1976	161	244	host	rnz
gene-SynWH7803_0935	105	113	host	gene-SynWH7803_0935
gene-SynWH7803_0157	974	791	host	gene-SynWH7803_0157
gene-SynWH7803_2533	428	408	host	thrC
gene-SynWH7803_1852	1301	1014	host	lgt
gene-SynWH7803_2414	155	172	host	metC
gene-SynWH7803_0461	225	243	host	hemF
gene-SynWH7803_0922	54	68	host	gene-SynWH7803_0922
gene-SynWH7803_0351	234	235	host	dfp
gene-SynWH7803_2191	1127	1040	host	gene-SynWH7803_2191_gene_hli
gene-SynWH7803_0956	111	94	host	gene-SynWH7803_0956
gene-SSBP1_gp43	24	92	phage	gene-SSBP1_gp43
gene-SynWH7803_2119	2154	2051	host	gene-SynWH7803_2119
gene-SynWH7803_0101	30	43	host	gene-SynWH7803_0101
gene-SynWH7803_1245	499	424	host	pstC
gene-SynWH7803_1478	173	206	host	gene-SynWH7803_1478
gene-SynWH7803_0382	965	904	host	rpsL
gene-SynWH7803_0512	264	233	host	gene-SynWH7803_0512
gene-SynWH7803_0223	999	1279	host	gene-SynWH7803_0223
gene-SynWH7803_1554	374	410	host	gene-SynWH7803_1554
gene-SynWH7803_1447	417	281	host	gene-SynWH7803_1447
gene-SSBP1_gp14	17	126	phage	gene-SSBP1_gp14
gene-SynWH7803_0991	106	97	host	gene-SynWH7803_0991
gene-SynWH7803_0466	143	175	host	gene-SynWH7803_0466
gene-SynWH7803_1340	443	359	host	lspA
gene-SynWH7803_0414	1029	704	host	rpmJ
gene-SynWH7803_2509	226	206	host	purU
gene-SynWH7803_1246	751	670	host	gene-SynWH7803_1246_gene_dnaK
gene-SynWH7803_0853	136	110	host	gene-SynWH7803_0853
gene-SynWH7803_0206	1219	1215	host	gene-SynWH7803_0206
gene-SynWH7803_0638	493	466	host	frr
gene-SynWH7803_0946	87	84	host	gene-SynWH7803_0946
gene-SynWH7803_2039	207	240	host	fumC
gene-SynWH7803_1961	123	129	host	gene-SynWH7803_1961
gene-SynWH7803_2467	906	893	host	gene-SynWH7803_2467
gene-SynWH7803_0989	121	117	host	znuC
gene-SynWH7803_1548	297	268	host	gene-SynWH7803_1548
gene-SynWH7803_0859	92	106	host	gene-SynWH7803_0859
gene-SynWH7803_1088	486	424	host	gene-SynWH7803_1088
gene-SynWH7803_1896	99	97	host	aroH
gene-SynWH7803_0543	1437	1194	host	gene-SynWH7803_0543
gene-SynWH7803_0553	17143	8680	host	gene-SynWH7803_0553
gene-SynWH7803_1098	231	255	host	rhlE
gene-SynWH7803_0954	87	69	host	gene-SynWH7803_0954
gene-SynWH7803_1460	142	124	host	gap3
gene-SynWH7803_1535	2811	3772	host	clpA
gene-SynWH7803_0473	146	136	host	rlpA
gene-SynWH7803_1562	276	278	host	gene-SynWH7803_1562
gene-SynWH7803_0874	1121	1149	host	gene-SynWH7803_0874
gene-SynWH7803_0435	165	159	host	gene-SynWH7803_0435
gene-SynWH7803_1118	574	937	host	ahpC
gene-SynWH7803_0587	169	177	host	gene-SynWH7803_0587
gene-SynWH7803_2226	223	211	host	gene-SynWH7803_2226
gene-SynWH7803_1579	700	886	host	gene-SynWH7803_1579
gene-SynWH7803_2339	69	49	host	gene-SynWH7803_2339_gene_def
gene-SynWH7803_1719	340	169	host	gene-SynWH7803_1719
gene-SynWH7803_0318	181	161	host	gene-SynWH7803_0318
gene-SynWH7803_1939	305	288	host	gene-SynWH7803_1939
gene-SynWH7803_1115	1928	1861	host	rpmF
gene-RNA_13	60	61	host	gene-RNA_13
gene-SynWH7803_0831	236	235	host	gene-SynWH7803_0831
gene-SynWH7803_1412	144	150	host	gene-SynWH7803_1412
gene-SynWH7803_2298	750	579	host	gene-SynWH7803_2298
gene-SynWH7803_0996	407	323	host	gene-SynWH7803_0996
gene-SynWH7803_1182	186	152	host	gene-SynWH7803_1182
gene-SSBP1_gp08	2	22	phage	gene-SSBP1_gp08
gene-SynWH7803_1494	80	63	host	gene-SynWH7803_1494
gene-SynWH7803_2193	191	255	host	xseA
gene-SynWH7803_0406	1447	1349	host	rpmE
gene-SynWH7803_1235	3094	2470	host	gene-SynWH7803_1235
gene-SynWH7803_0797	470	398	host	gene-SynWH7803_0797_gene_hli
gene-SynWH7803_2124	1273	1240	host	smc
gene-SSBP1_gp26	5	71	phage	gene-SSBP1_gp26
gene-SynWH7803_0514	386	500	host	gene-SynWH7803_0514
gene-SynWH7803_1807	1535	1129	host	gene-SynWH7803_1807
gene-SynWH7803_2301	96	100	host	gene-SynWH7803_2301
gene-SynWH7803_0132	594	571	host	gene-SynWH7803_0132
gene-SynWH7803_0801	104	81	host	gene-SynWH7803_0801
gene-SynWH7803_0212	107	81	host	gene-SynWH7803_0212
gene-SynWH7803_0474	245	243	host	gene-SynWH7803_0474
gene-SynWH7803_0877	117	173	host	adhC
gene-SynWH7803_2398	312	356	host	alaS
gene-SynWH7803_0142	185	143	host	cysE
gene-SynWH7803_1070	138	127	host	ruvA
gene-SSBP1_gp11	35	427	phage	gene-SSBP1_gp11
gene-SynWH7803_2138	1667	1516	host	rpsU
gene-SynWH7803_0423	396	906	host	rplX
gene-SynWH7803_0456	1801	1543	host	trpE
gene-SynWH7803_1479	297	183	host	gene-SynWH7803_1479
gene-SynWH7803_0160	117	104	host	gene-SynWH7803_0160
gene-SynWH7803_1837	296	259	host	gene-SynWH7803_1837
gene-SynWH7803_0823	86	109	host	gene-SynWH7803_0823_gene_hli
gene-SynWH7803_0651	364	429	host	gene-SynWH7803_0651
gene-RNA_9	37	15	host	gene-RNA_9
gene-SynWH7803_0399	216	173	host	gene-SynWH7803_0399
gene-SynWH7803_1123	1139	921	host	pcxA
gene-SynWH7803_0490	1786	1207	host	gene-SynWH7803_0490
gene-SynWH7803_1981	499	509	host	serA
gene-SynWH7803_0616	177	157	host	gene-SynWH7803_0616
gene-SynWH7803_0180	140	141	host	gene-SynWH7803_0180
gene-SynWH7803_1044	790	911	host	gene-SynWH7803_1044
gene-SynWH7803_0229	367	365	host	gene-SynWH7803_0229
gene-SynWH7803_2110	171	145	host	gene-SynWH7803_2110
gene-SynWH7803_1093	179	199	host	gene-SynWH7803_1093
gene-SynWH7803_1930	355	505	host	gene-SynWH7803_1930
gene-SSBP1_gp54	23	144	phage	gene-SSBP1_gp54
gene-SynWH7803_2394	375	347	host	cya1
gene-SynWH7803_0840	864	1008	host	gene-SynWH7803_0840
gene-SynWH7803_1142	164	255	host	purQ
gene-SynWH7803_0969	48	56	host	gene-SynWH7803_0969
gene-SynWH7803_2287	335	349	host	gene-SynWH7803_2287_gene_ppnK
gene-SynWH7803_2397	136	113	host	gene-SynWH7803_2397
gene-SynWH7803_1736	2357	2974	host	gene-SynWH7803_1736_gene_rpoD
gene-SynWH7803_2438	51	95	host	gene-SynWH7803_2438
gene-SynWH7803_0792	875	700	host	katG
gene-SynWH7803_0120	950	1033	host	gene-SynWH7803_0120
gene-SynWH7803_0711	338	346	host	gene-SynWH7803_0711
gene-SynWH7803_1671	83	89	host	gene-SynWH7803_1671
gene-SynWH7803_1955	224	231	host	lpxB
gene-SynWH7803_0588	341	268	host	gene-SynWH7803_0588
gene-SynWH7803_1537	196	205	host	gene-SynWH7803_1537
gene-SynWH7803_0699	81	94	host	gene-SynWH7803_0699
gene-SynWH7803_0890	206	210	host	gene-SynWH7803_0890
gene-SynWH7803_1078	187	160	host	gene-SynWH7803_1078
gene-SynWH7803_0214	91	121	host	glcE
gene-SynWH7803_0438	140	133	host	gene-SynWH7803_0438
gene-SynWH7803_0390	11496	9506	host	gene-SynWH7803_0390
gene-SynWH7803_2175	245	268	host	ndh
gene-SynWH7803_0421	340	629	host	rpsH
gene-SynWH7803_2017	3627	3812	host	atpA
gene-SynWH7803_0768	327	356	host	gene-SynWH7803_0768
gene-SynWH7803_2512	191	152	host	gene-SynWH7803_2512
gene-SynWH7803_1511	833	676	host	gene-SynWH7803_1511
gene-SynWH7803_0098	194	198	host	gene-SynWH7803_0098
gene-SynWH7803_1810	249	266	host	gene-SynWH7803_1810
gene-SynWH7803_0937	216	223	host	gene-SynWH7803_0937_gene_hli
gene-SynWH7803_1966	1366	1186	host	kaiA
gene-SynWH7803_0415	242	256	host	adk
gene-SynWH7803_1189	190	219	host	gene-SynWH7803_1189
gene-SynWH7803_1720	551	402	host	gene-SynWH7803_1720
gene-SynWH7803_0810	633	737	host	gene-SynWH7803_0810
gene-SynWH7803_2435	335	258	host	gene-SynWH7803_2435
gene-SynWH7803_1366	191	235	host	ksgA
gene-SynWH7803_0330	164	179	host	ictB
gene-SynWH7803_1504	210	169	host	gene-SynWH7803_1504
gene-SynWH7803_1817	171	158	host	gene-SynWH7803_1817
gene-SynWH7803_2016	3159	3202	host	atpC
gene-SynWH7803_2289	438	409	host	ndhG
gene-SynWH7803_2156	2489	2083	host	cpcG1
gene-SynWH7803_0540	2827	2572	host	psaE
gene-SynWH7803_0477	115	107	host	rpcE
gene-SynWH7803_0802	234	210	host	gene-SynWH7803_0802
gene-SynWH7803_0701	192	172	host	gene-SynWH7803_0701
gene-SynWH7803_0653	275	284	host	gene-SynWH7803_0653
gene-SynWH7803_0309	1106	954	host	gene-SynWH7803_0309
gene-SynWH7803_0783	511	443	host	gene-SynWH7803_0783
gene-SynWH7803_1424	494	401	host	betA
gene-SynWH7803_0867	250	269	host	gene-SynWH7803_0867
gene-SynWH7803_0039	502	284	host	hepA
gene-SynWH7803_1171	154	159	host	gene-SynWH7803_1171
gene-SSBP1_gp33	26	424	phage	gene-SSBP1_gp33
gene-RNA_50	336	463	host	gene-RNA_50
gene-SynWH7803_2313	191	168	host	mraW
gene-SynWH7803_0082	44	40	host	holA
gene-SynWH7803_2338	106	131	host	gene-SynWH7803_2338
gene-SynWH7803_0601	233	265	host	gene-SynWH7803_0601
gene-SynWH7803_1176	272	302	host	gene-SynWH7803_1176
gene-SynWH7803_2429	405	381	host	gene-SynWH7803_2429
gene-SynWH7803_0809	111	98	host	gene-SynWH7803_0809
gene-SynWH7803_1071	66	87	host	gene-SynWH7803_1071
gene-SynWH7803_0319	177	180	host	ntcA
gene-SynWH7803_1687	212	168	host	gene-SynWH7803_1687
gene-SynWH7803_1830	102	101	host	gene-SynWH7803_1830
gene-SynWH7803_0782	265	312	host	gene-SynWH7803_0782
gene-SynWH7803_1349	360	300	host	gene-SynWH7803_1349
gene-SynWH7803_0289	93	79	host	cobS
gene-SynWH7803_0320	144	120	host	rph
gene-SSBP1_gp30	19	210	phage	gene-SSBP1_gp30
gene-SynWH7803_1786	183	186	host	gene-SynWH7803_1786
gene-SynWH7803_0901	59	101	host	gene-SynWH7803_0901
gene-SynWH7803_0306	477	516	host	leuC
gene-SynWH7803_2321	350	299	host	gshB
gene-SynWH7803_1261	158	203	host	gene-SynWH7803_1261
gene-SynWH7803_1199	67	76	host	gene-SynWH7803_1199
gene-SynWH7803_2197	475	432	host	gene-SynWH7803_2197
gene-SynWH7803_0702	339	324	host	dnaA
gene-SynWH7803_0069	474	463	host	gene-SynWH7803_0069
gene-SynWH7803_0661	410	406	host	gene-SynWH7803_0661
gene-SynWH7803_2044	89	79	host	gene-SynWH7803_2044
gene-SynWH7803_0564	195	180	host	dus
gene-SynWH7803_2271	688	448	host	gene-SynWH7803_2271
gene-SynWH7803_0517	1583	1248	host	psbT
gene-SynWH7803_1608	264	277	host	gene-SynWH7803_1608
gene-SynWH7803_2107	776	589	host	gene-SynWH7803_2107
gene-SynWH7803_1765	890	771	host	ilvC
gene-SynWH7803_2060	2991	4105	host	rpoC2
gene-SynWH7803_0026	355	301	host	gene-SynWH7803_0026
