Geneid	30_R1	480_R1	Entity	Symbol
gene-SynWH7803_1612	128	124	host	gene-SynWH7803_1612
gene-SynWH7803_0864	164	128	host	gene-SynWH7803_0864
gene-SynWH7803_0566	155	189	host	gene-SynWH7803_0566
gene-SynWH7803_0307	199	173	host	leuD
gene-SynWH7803_2147	284	370	host	csd
gene-SynWH7803_0203	172	162	host	gene-SynWH7803_0203
gene-SynWH7803_0283	264	193	host	gene-SynWH7803_0283
gene-SynWH7803_1803	202	221	host	gene-SynWH7803_1803
gene-SynWH7803_2104	536	438	host	gene-SynWH7803_2104
gene-SynWH7803_0613	179	153	host	gene-SynWH7803_0613
gene-SynWH7803_1086	256	198	host	gene-SynWH7803_1086
gene-SynWH7803_1514	1005	893	host	rbpD
gene-SynWH7803_0114	216	258	host	gmd
gene-SynWH7803_0719	3018	3239	host	gene-SynWH7803_0719
gene-SynWH7803_1283	378	361	host	gene-SynWH7803_1283
gene-SynWH7803_0776	475	442	host	thrS
gene-SynWH7803_0440	537	438	host	gene-SynWH7803_0440
gene-SynWH7803_0460	355	263	host	mrp
gene-SynWH7803_1365	213	189	host	ispE
gene-SynWH7803_2164	423	410	host	pmg
gene-SynWH7803_0614	200	161	host	argB
gene-SynWH7803_0060	220	195	host	gene-SynWH7803_0060
gene-RNA_23	113	85	host	gene-RNA_23
gene-SynWH7803_1771	67	76	host	gene-SynWH7803_1771
gene-SynWH7803_1315	987	867	host	gene-SynWH7803_1315
gene-SynWH7803_0511	191	220	host	gene-SynWH7803_0511
gene-SynWH7803_1508	429	403	host	recB
gene-SynWH7803_1472	261	236	host	aspC
gene-SynWH7803_0084	270	273	host	mutS
gene-SynWH7803_2335	156	157	host	gene-SynWH7803_2335
gene-SynWH7803_2200	367	370	host	gene-SynWH7803_2200
gene-SynWH7803_2176	314	277	host	hflX
gene-SynWH7803_2259	420	252	host	devB
gene-SynWH7803_0603	150	129	host	gene-SynWH7803_0603
gene-SynWH7803_1878	145	148	host	gene-SynWH7803_1878
gene-SynWH7803_1292	2062	1887	host	rpsR
gene-SynWH7803_1237	1928	1419	host	rpmB
gene-SynWH7803_1425	364	349	host	gene-SynWH7803_1425
