Geneid	0	2.5	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b4012	0.014951619915051229	0.3231407574380678	0.1656187512541194	0.12364824471750047	0.01930629751670998	0.40447959263299027	host	yjaB	None	None	0.30260527878625276
gene-b4054	6.69938601900153	0.5445063864196609	0.943719929438819	0.3483568779789712	0.45314804099137795	0.31038263815398004	host	tyrB	None	None	7.172784997385983
gene-b1301	2.2984819988868797	0.7737447240102311	0.024108081315784347	0.1583044299651042	0.266529937488843	1.886648010201693	host	puuB	None	None	6.345523539284206
gene-b2779	3.979180027849054	68.31599186282503	2.015510046710631	8.585115323822322	12.675860983118055	13.133267197489715	host	eno	None	None	75.38641637780631
gene-b4719	2.6394339699273104	7.341265166990421	1.4089438374493817	5.167743871409542	1.5343688645380746	0.8578447524639055	host	sdsN	None	None	5.1070735526433655
gene-b0292	0.07784818987936296	0.09902691769493767	0.08962419631896038	0.002105070657466984	0.07460836173170513	0.2705474650903948	host	ecpB	None	None	0.07909260829696514
gene-b1929	0.34615611188405815	0.6625539465615364	0.20170459869701585	0.274429136693525	0.5171124323102996	0.5180330378431033	host	yedE	None	None	0.12891577151582684
gene-b4047	0.03799395844333146	0.07615118225315536	0.004755566760029743	0.005646272834535004	0.24100859023693727	0.0030339074728603643	host	yjbL	None	None	0.10967391886149852
gene-b4354	15.14460247117762	3.743018284969523	4.523835194128317	5.443850591908525	1.1734456905846145	4.6038023968282715	host	btsT	None	None	22.529757525413373
gene-b0945	1.6150171565728133	1.639213135521656	0.4987768739059173	1.3229014440351765	1.8675692281149407	0.5137193631569215	host	pyrD	None	None	1.66934557726372
gene-b0968	1.3655526082991027	2.456667881256484	0.5353321934734439	1.2883242196376674	1.1929535041118626	0.45013551970510424	host	yccX	None	None	3.360670503706439
gene-b1061	2.6494910117575756	10.698364045926098	5.742204431744349	7.405488970765603	5.530333416237738	2.6897511804258123	host	dinI	None	None	11.308059533163103
gene-b0107	0.1699460238674595	0.05536848593454613	0.1292956373612979	0.1546290061439467	0.19913295885805904	0.22159048645326407	host	hofB	None	None	0.06379051771628778
gene-b1900	0.2588699007623225	0.02507840915943088	0.08143118311968334	0.001012753453260462	0.08578722657905191	0.04940126918617582	host	araG	None	None	0.07155629638575452
gene-b0840	2.6742373297967106	0.9431346311158446	1.288662571803119	0.0362996745575348	0.6291474007775211	0.7165210388295371	host	deoR	None	None	1.1097484720020707
gene-b0744	323.73166960017943	268.91094941271604	1180.5393932848378	529.6968226077406	314.15411494103023	288.870538074303	host	valT	None	None	1482.8281703281655
gene-b2193	0.38704428227382864	0.4195541482579479	3.0473958588381187	0.5598246489593475	1.7456352102648207	1.1913912792624037	host	narP	None	None	1.4999597705282848
gene-b3073	10.627997431803479	0.13712789813724413	4.413451275841879	0.5139977261702251	0.06534255826992297	1.1154382977183843	host	patA	None	None	16.472669159137055
gene-b4625	1.6586026192107326	7.278603750834675	3.43437948503158	1.53222834874083	0.034607015007490194	1.0330168802889155	host	symR	None	None	5.191433611420614
gene-b0246	0.0061296786356086486	0.10989078476219527	0.21598757063395801	0.20958553303619154	0.2252862623008859	0.8028605853720372	host	yafW	None	None	0.21644004835665753
gene-b4807	0.09197936196943801	0.28476466688180324	0.2513290684834143	0.010522214490047976	0.43737230278269545	0.6754640330692654	host	malH	None	None	0.17143082871669216
gene-b3905	0.016097553023196653	0.11982629312364534	0.06721532286006132	0.04537423806597907	0.1698160711096539	0.1362427632166612	host	rhaS	None	None	0.03455438688963346
gene-b4594	0.12006208363619339	0.06060144253089639	0.3406132365808911	0.04984974268870401	0.07719367573144723	0.06632850998796258	host	ymgJ	None	None	0.11229768159034757
gene-b2245	0.25201628502751805	0.1594643679870804	0.1873743611649138	0.01366216338551518	0.19320743492346082	0.13057802521137607	host	yfaU	None	None	0.40546535262723366
gene-b1471	0.00831744753595164	0.0022571803442059876	0.014317372525836577	0.021828303244841727	0.05024744502466549	0.009706558516566575	host	yddK	None	None	0.019847630327271364
gene-b1430	0.12914655714807655	0.3775882051233106	0.04790906052927468	0.285442555391628	0.255944452196462	0.9887211157930946	host	tehB	None	None	0.8744105768254595
gene-b0095	3.5906612784563663	18.993774810810024	18.115368929846085	2.617772281304724	4.286192127131471	5.396524917839443	host	ftsZ	None	None	30.2332445597853
gene-b0238	0.8882379318638343	1.6251890107048723	24.768270904684442	3.0352369650319844	2.6354868447838236	3.40065979799669	host	gpt	None	None	15.5295827500997
gene-b4437	17.044584127824606	0.7224394564629879	3.391632676100018	6.135928673079015	2.858027030953745	1.6178446162678313	host	sibB	None	None	7.737278185077168
gene-b2918	0.17289825316234586	0.20565541470182058	0.11546701109181551	0.12036441153882071	0.08000194450034376	0.2957783681460024	host	argK	None	None	0.09656126637642745
gene-b3375	0.596188310625168	0.18013650186743213	0.2462190741943926	0.24385084554032121	0.05388014382773709	0.3488474390890963	host	frlR	None	None	0.42416584434871907
gene-b1092	9.00731868716099	37.47788484004619	58.78894625658853	11.29090278223154	9.88090622334164	12.075162136545387	host	fabD	None	None	73.32910394636856
gene-b1675	0.9083295274958836	7.132053779785265	3.090679182761871	3.210007241521785	0.03589368185358932	1.4994407467315423	host	fumD	None	None	4.6701697435456575
gene-b1189	18.104205968623234	1.1001528028833825	6.192171890959685	3.157424261347069	3.5054667660208967	2.983066449638688	host	dadA	None	None	27.31346471769634
gene-b0782	14.667706357845532	0.008725146069377132	7.5428777418958965	4.143792279039339	2.7016674329414023	1.916541477687531	host	moaB	None	None	10.380899799005565
gene-b0493	0.8320908532096256	0.1305154347583528	0.4034550560942507	0.19758000668696285	0.10995632740750683	0.9654117484803044	host	ybbO	None	None	0.8371830941437497
gene-b0422	2.964965639131364	0.3077977482061165	4.014931526683384	1.3526920013680606	0.5025607452020004	1.7847051314978337	host	xseB	None	None	3.175308053464525
gene-b1123	1.5539059426009914	4.598475416059365	0.5219136220246767	1.7059053584618802	1.55002442353761	1.9700310755455908	host	potD	None	None	7.510361810243306
gene-b4078	0.6378485797805031	0.07829146725237379	0.2330017052476574	0.29720135532558256	0.049017242254211	0.19814564318682049	host	yjcO	None	None	0.5191569686932797
gene-b4133	0.02180757680570783	0.038436055549657566	0.0402656613244754	0.009790430999457977	0.05741152371305738	0.19082274908362912	host	cadC	None	None	0.10972895999815689
gene-b0044	0.012377141605508013	0.02912482310135872	0.11072530604423322	0.024104943980777227	0.23396881561051822	0.45610086061861993	host	fixX	None	None	0.13300177864659665
gene-b1689	0.07818749804403183	0.09782276393357597	0.13381910025439334	0.02152872305346723	0.015111309800144773	0.03876116639778454	host	ydiL	None	None	0.049402924194298724
gene-b2735	0.8697256045385116	0.4786687458733003	0.018266477516769353	0.3633648931135909	0.29629860805445585	0.34253620929389017	host	ygbI	None	None	0.5043634686843128
gene-b1480	46.654731759653814	87.3843631896452	14.276097768935017	3.7224375209469684	4.142974616381604	5.930515345609351	host	sra	None	None	54.217572492256124
gene-b0914	0.277562743509737	3.040918308207676	1.269123549014461	0.3060577349414624	0.11053462774548173	0.9526493962493405	host	msbA	None	None	3.7418106832185476
gene-b4819	0.881462763845267	0.8772773898819324	1.1686786643645197	0.7779918943450852	0.9986118205043222	1.0349035580922266	host	ypeD	None	None	4.768447755003169
gene-b1921	0.242784532774725	0.20747655749560245	0.1677084731746526	0.010878504005785494	0.23409821227254102	0.20658549422526346	host	fliZ	None	None	0.20372927802386043
gene-b4592	3.051749020199681	1.9602185788878028	0.8917440248434163	1.4595829937515772	0.3390309090993475	0.7647321313687434	host	appX	None	None	2.102740225375827
