Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C0631	40	19	10	24	13	5	host	gene-HB27c_C0631	None	None	4.274386761993071
gene-HB27c_C1299	641	194	104	206	57	40	host	gene-HB27c_C1299	None	None	10.541509270226452
gene-HB27c_C0414	3016	1512	1265	1644	653	656	host	gene-HB27c_C0414	None	None	213.78603246788322
gene-HB27c_C1258	2369	531	296	572	141	118	host	gene-HB27c_C1258	None	None	25.612118483775948
gene-HB27c_P0244	9	4	3	77	20	4	host	gene-HB27c_P0244	None	None	8.345560830674254
gene-HB27c_C1007	2122	347	278	252	53	35	host	gene-HB27c_C1007	None	None	70.15438724326918
gene-HB27c_C0511	14	7	4	21	4	3	host	gene-HB27c_C0511	None	None	0.7192780342096358
gene-HB27c_C1622	5540	627	465	543	323	226	host	gene-HB27c_C1622	None	None	133.87069596426903
gene-HB27c_C0657	208	123	89	162	57	32	host	gene-HB27c_C0657	None	None	1.7285109778571548
gene-HB27c_C0118	135	84	68	117	25	24	host	gene-HB27c_C0118	None	None	3.0524614595567194
gene-HB27c_C0993	166	195	78	209	45	26	host	gene-HB27c_C0993	None	None	1.8701504668525288
gene-HB27c_P0235	7	6	2	11	4	2	host	gene-HB27c_P0235	None	None	2.4809744442964807
gene-HB27c_C1240	121	26	35	46	6	7	host	gene-HB27c_C1240	None	None	2.187211021311262
gene-HB27c_C2035	8060	13870	1813	3089	868	807	host	gene-HB27c_C2035	None	None	856.9630533475258
gene-HB27c_P0027	5	0	0	3	1	0	host	gene-HB27c_P0027	None	None	0.5273308419059484
gene-HB27c_C1319	380	374	184	291	61	26	host	gene-HB27c_C1319	None	None	2.0702390580358387
gene-HB27c_C1819	9785	117	92	237	17	15	host	gene-HB27c_C1819	None	None	2284.318784378955
gene-HB27c_C1827	456	371	787	222	42	29	host	gene-HB27c_C1827	None	None	134.29030753274765
gene-HB27c_C2010	304	157	105	164	36	22	host	gene-HB27c_C2010	None	None	0.2648743773246027
gene-HB27c_C0718	66	31	31	74	25	11	host	gene-HB27c_C0718	None	None	5.205187857940929
gene-HB27c_P0131	44	12	16	15	7	7	host	gene-HB27c_P0131	None	None	2.665817085530566
gene-HB27c_C2003	40	27	16	48	9	4	host	gene-HB27c_C2003	None	None	1.4376923687373333
gene-HB27c_C0500	1358	733	494	520	260	132	host	gene-HB27c_C0500	None	None	29.182283576256715
gene-HB27c_C1796	87970	2885	2494	2771	3000	151	host	gene-HB27c_C1796	None	None	13375.877616690188
gene-HB27c_C0475	801	501	378	509	181	99	host	gene-HB27c_C0475	None	None	16.416547930602174
gene-HB27c_C1156	2810	2971	1020	7086	710	369	host	gene-HB27c_C1156	None	None	472.2241281548278
gene-HB27c_C0281	16	16	22	8	2	0	host	gene-HB27c_C0281	None	None	31.895420970379444
