Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1215	0.2633624290876175	0.4356872864872798	1.0	0.35349675762802435	0.560966217536519	0.35546965606280995	host	gene-HB27c_C1215	None	None	3.8356783883233407
gene-HB27c_C0727	0.2982787084185958	0.252915331167406	0.48432030477097054	0.5945652735362728	0.9268198968959298	1.0	host	gene-HB27c_C0727	None	None	5.244152688802373
gene-Lalka27a_37	0.004476923234650422	0.005431279363933255	0.0028767701050286844	0.12485627106095581	1.0	0.9704516513361974	phage	gene-Lalka27a_37	late	late	173.89595899167023
gene-HB27c_C0159	0.29502623726818855	0.4469175570249612	0.45413192497104193	0.46843413860436	0.6149398859115363	1.0	host	gene-HB27c_C0159	None	None	7.737942002955908
gene-HB27c_C1199	0.32286109521022205	0.5016886246531622	0.6910788700197994	0.7007485550447776	0.6482083010374151	1.0	host	gene-HB27c_C1199	None	None	6.829689309412731
gene-HB27c_C1243	0.5051047140569541	0.589471173514141	1.0	0.29844516146324374	0.5393146841463888	0.664987178720907	host	gene-HB27c_C1243	None	None	159.4274536249852
gene-HB27c_C0003	0.6939731079994195	0.8421799833477227	0.776235178843788	0.6932013828430431	0.9866388494991362	1.0	host	gene-HB27c_C0003	None	None	7.343821824244862
gene-HB27c_P0006	0.5187441785059131	0.3241982838844742	1.0	0.8819565569103233	0.5156356140992244	0.980234506112597	host	gene-HB27c_P0006	None	None	1.3723653905631492
gene-HB27c_C0192	0.535212247664831	0.635985615724818	1.0	0.46197724409588364	0.9389011295276127	0.5623567574750272	host	gene-HB27c_C0192	None	None	8.489087464939695
gene-HB27c_C0839	0.6324635084092177	0.7938599419194563	0.7758675562158724	0.47701254516173663	0.5516930566229563	1.0	host	gene-HB27c_C0839	None	None	3.6734929952131052
gene-HB27c_P0211	0.2411681128420905	0.3206941295944032	0.4397774627398724	0.48593787557360807	0.537345450249166	1.0	host	gene-HB27c_P0211	None	None	18.635295768045967
gene-HB27c_C1866	0.48709178771466116	1.0	0.48961667723611296	0.6211691786005529	0.6644599294546139	0.6801591802125913	host	gene-HB27c_C1866	None	None	4.876361674878307
gene-HB27c_C0420	0.6223339754139403	0.47162310859167195	0.8004334060449191	0.7245990705849451	1.0	0.6336739093199829	host	gene-HB27c_C0420	None	None	2.3539869535085325
