Geneid	40	90	140	190	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-FLV31_RS00335	2048	417	163	124	host	murD	None	None	13.309356890361213
gene-FLV31_RS17715	132	39	23	11	host	gene-FLV31_RS17715	None	None	1.0326177695087482
gene-FLV31_RS05285	365	161	75	51	host	gene-FLV31_RS05285	None	None	2.2510594676196596
gene-FLV31_RS13580	3022	1578	265	110	host	gene-FLV31_RS13580	None	None	129.48836595408835
gene-FLV31_RS02575	1278	256	46	33	host	gene-FLV31_RS02575	None	None	13.950193348720754
gene-N356_gp037	733606	406285	76964	23968	phage	g040	early	early	3105.4528763973217
gene-FLV31_RS02415	431	191	181	139	host	gene-FLV31_RS02415	None	None	0.0989219057393423
gene-FLV31_RS14170	478	155	106	68	host	gene-FLV31_RS14170	None	None	1.0817124551416213
gene-FLV31_RS15730	202	57	18	17	host	gene-FLV31_RS15730	None	None	1.413457289658277
gene-FLV31_RS01885	849	254	91	49	host	rsmA	None	None	7.016992185368693
gene-FLV31_RS04325	927	526	301	117	host	gene-FLV31_RS04325	None	None	7.478716113599687
gene-N356_gp071	172	14428	44413	40264	phage	g074	middle	late	1425.2814713212779
gene-FLV31_RS16950	146	26	15	6	host	gene-FLV31_RS16950	None	None	1.2214797411752476
gene-FLV31_RS08980	877	195	39	20	host	gene-FLV31_RS08980	None	None	17.90563850412619
gene-FLV31_RS04805	19309	3832	877	445	host	gdhA	None	None	163.33134696006718
gene-FLV31_RS19455	2690	1121	426	403	host	gene-FLV31_RS19455	None	None	133.83847359958668
gene-N356_gp051	532003	674285	286420	76861	phage	g054	early	early	2149.600643941278
gene-FLV31_RS11285	374	102	29	25	host	gene-FLV31_RS11285	None	None	4.377308064253399
gene-FLV31_RS09510	507	161	139	75	host	gene-FLV31_RS09510	None	None	3.4308402115699193
gene-FLV31_RS04945	180	44	15	10	host	gene-FLV31_RS04945	None	None	2.0884364538697158
gene-FLV31_RS11725	13466	892	120	62	host	gene-FLV31_RS11725	None	None	755.6283426720616
gene-FLV31_RS02975	1843	442	97	58	host	gene-FLV31_RS02975	None	None	44.27535015504218
gene-FLV31_RS04705	395	148	38	15	host	gene-FLV31_RS04705	None	None	6.444873067490325
gene-FLV31_RS08115	1596	344	121	61	host	gene-FLV31_RS08115	None	None	31.34859695558688
gene-FLV31_RS03315	9797	2367	869	469	host	atpG	None	None	96.15532841273549
gene-FLV31_RS16265	32	20	15	9	host	gene-FLV31_RS16265	None	None	0.018443700793383255
gene-FLV31_RS10100	1347	241	128	56	host	gene-FLV31_RS10100	None	None	15.7956671871852
gene-FLV31_RS08385	1296	433	600	166	host	gene-FLV31_RS08385	None	None	3.6950819409563853
gene-FLV31_RS09300	143	34	9	15	host	gene-FLV31_RS09300	None	None	2.44734251747088
gene-FLV31_RS18585	689	276	134	54	host	murB	None	None	3.208021866846839
gene-FLV31_RS01815	547	213	87	52	host	gene-FLV31_RS01815	None	None	2.8824251819980953
gene-FLV31_RS06120	101	26	10	3	host	gene-FLV31_RS06120	None	None	1.5496816812690024
gene-FLV31_RS07455	858	276	74	36	host	gene-FLV31_RS07455	None	None	12.401200115646139
gene-FLV31_RS09140	256	45	43	14	host	gene-FLV31_RS09140	None	None	2.116416967851286
gene-FLV31_RS15475	17116	3463	1090	589	host	gene-FLV31_RS15475	None	None	62.881664583946076
gene-FLV31_RS09310	1709	269	96	71	host	gene-FLV31_RS09310	None	None	15.021917531049855
gene-FLV31_RS17665	62	23	13	8	host	gene-FLV31_RS17665	None	None	0.31318980932222196
