Geneid	15_R1	15_R2	15_R3	35_R1	35_R2	35_R3	45_R1	45_R2	45_R3	Entity	Symbol
gene-LUU82_13495	15252	21872	22311	18298	23310	24176	21630	28894	23605	host	sigB
gene-LUU82_00515	3515	5423	4603	4825	5856	6928	5337	6906	6365	host	gene-LUU82_00515
gene-LUU82_03930	662	996	931	803	1057	1156	876	1244	1094	host	gene-LUU82_03930
gene-LUU82_04235	1480	2037	1957	1913	2213	2110	1638	2530	1943	host	yfhO
gene-LUU82_04945	13237	19300	17113	15485	18991	20268	17508	21440	17906	host	gene-LUU82_04945
gene-LUU82_13640	506	775	662	1173	1615	1507	1237	1848	1519	host	gene-LUU82_13640
gene-LUU82_13480	5090	7485	6713	6710	8634	8653	7567	10215	8310	host	gene-LUU82_13480
gene-LUU82_03420	4676	6969	5517	6126	7072	7306	6657	6980	6339	host	cvfB
gene-SAM1_00178	3426	4771	3834	3178	3160	4283	6804	5998	7183	phage	gene-SAM1_00178
gene-SAM1_00227	7108	9275	8227	4250	4187	3901	6698	7620	8800	phage	gene-SAM1_00227
gene-LUU82_00365	2648	4163	3268	3611	4781	4183	3688	4991	3742	host	gatC
gene-LUU82_06060	2536	3781	4368	5114	6682	7860	7179	11694	10261	host	gene-LUU82_06060
gene-LUU82_05750	2392	3367	2912	3500	4190	3856	3576	4550	3824	host	mnhG1
gene-LUU82_12640	160107	197519	177730	151693	222620	149952	158494	252422	164785	host	rpsE
gene-LUU82_03995	3615	5181	4507	4174	5130	5152	4450	5634	4494	host	gene-LUU82_03995
gene-SAM1_00121	224453	222243	226500	179398	172763	157738	250405	279960	237111	phage	gene-SAM1_00121
gene-LUU82_12635	101955	126026	112284	94727	140211	100283	99015	150456	102475	host	rplR
gene-LUU82_01430	1191	1676	1479	1813	2188	1827	1691	2464	1809	host	gene-LUU82_01430
gene-LUU82_13420	422	671	668	604	782	704	602	963	702	host	gene-LUU82_13420
gene-LUU82_02230	304	513	355	257	381	473	297	318	319	host	gene-LUU82_02230
gene-LUU82_07310	5912	8871	9097	5008	5694	5896	5158	6289	4801	host	vraX
gene-LUU82_10220	162	208	194	172	247	179	178	279	205	host	vraD
gene-LUU82_06180	222	330	227	190	260	229	223	281	219	host	gene-LUU82_06180
gene-LUU82_09570	54	115	123	92	86	89	75	106	106	host	deoD
gene-LUU82_04550	13472	19406	16495	17148	20791	20758	19596	22075	19309	host	rsmH
gene-LUU82_02690	4261	6045	5407	7070	7294	6464	6191	9317	7061	host	gcvPB
gene-LUU82_09020	99	142	127	111	180	145	137	219	170	host	gene-LUU82_09020
gene-LUU82_06565	1854	2597	2470	2466	2995	2790	2405	3559	2916	host	gene-LUU82_06565
gene-LUU82_01060	2135	3145	2750	2792	3314	3360	2815	3865	3078	host	queG
gene-LUU82_10185	6713	10057	8339	5786	8920	8350	6783	9095	7292	host	noc
gene-LUU82_00695	820	1429	1370	2424	2437	2324	8406	8718	7621	host	gene-LUU82_00695
gene-LUU82_07245	5958	8312	7958	6643	8464	8339	6585	9282	7442	host	gene-LUU82_07245
gene-LUU82_13675	6056	8559	8215	7804	9986	9978	9504	13431	11976	host	gene-LUU82_13675
gene-LUU82_11110	939	1483	1044	669	966	992	767	783	711	host	sdaAA
gene-LUU82_10810	3657	4806	4441	5540	4925	4925	3902	5613	4570	host	gene-LUU82_10810
gene-LUU82_07400	1838	2660	2136	2347	2946	2512	2373	3223	2576	host	tadA
gene-LUU82_08905	343	461	405	488	558	427	412	745	528	host	rbsD
gene-LUU82_05170	60804	76231	71797	81862	81231	53085	45116	82270	57126	host	qoxC
