Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b4433	483.51057248626313	308.74839744642696	200.30652282750765	144.5361508843711	145.42773586587566	106.5254747854635	40.07508912832242	31.32238516617965	26.286488352961964	12.996474677344281	40.81149898467341	13.628556564510722	host	sdsR	None	None	145.81896638031748
gene-b3177	59.38107598847776	76.80238875827962	58.79610981855948	34.35019117355796	28.049340725928705	5.009353628147664	12.94212108480784	2.764517749591652	4.45509259337355	1.3523694662798817	12.426802719613832	0.8624214560497354	host	folP	None	None	26.46518973691978
gene-b0158	17.20938627506431	25.018412235654456	21.972657304015947	14.313235280874686	7.522098819285876	7.8719436916296015	5.7438556981430695	4.052064917601168	1.9168776415957762	1.7842027353841865	7.721212434981551	0.89732962617744	host	btuF	None	None	6.233297529497706
gene-b3323	1.8050316331621061	2.061012726494697	1.4557566997946048	2.8847606260268703	1.031664781837084	2.945110741488744	0.7732484729769074	2.2723105205930048	0.33118378765450174	1.3940480189348003	0.08249554702441271	1.1469833980075055	host	gspA	None	None	0.5096953964186663
gene-b2011	19.07972820275727	19.622954266371966	15.627976336030317	8.32996436954708	5.195227657343345	1.8417686182505488	2.691207920654923	1.328964534037606	1.3374729886047183	0.7972496840313401	2.462734712640556	0.6256395263328963	host	sbcB	None	None	7.495293906504671
gene-b3283	119.78006033562582	59.447840290694515	134.0743877656136	27.78706535784131	39.17614912184394	5.3182313090593	20.235471088401205	3.4078547356705533	7.379501056831927	1.757604264041068	20.323074264190954	1.4473940306788378	host	yrdD	None	None	52.12717157561495
gene-b3635	14.621245397077331	15.036533277084397	25.287033044580358	11.344328650845023	17.052933475951722	4.543400657548419	13.030668711277514	3.0436001879565304	3.9298589047891723	1.7165307144978632	10.929132285419419	1.1195654681746565	host	mutM	None	None	4.967148816208644
gene-b3608	206.77712089762548	210.1982231779577	224.91441011826646	129.09184858618704	131.1206573716899	14.567687825879386	58.42574491404927	5.175923552815623	15.603851533721716	63.94349572152981	42.9195215092599	2.4301156338614605	host	gpsA	None	None	71.87462200252047
gene-b1312	0.8444684057585063	1.371180700286243	0.5698691707381015	1.3768023076291478	0.04862130836781488	1.4551817052646185	0.19262417476293067	1.6059960540153124	0.044423776608460405	0.6264027047214666	0.14385344498918945	0.3585796873157263	host	ycjP	None	None	0.4486622237258789
gene-b1904	2.996156843663387	2.1405654265579686	2.291468879306322	3.232749230447211	0.3795163236487772	1.5763419920806776	0.16705985527278863	1.4415132784686204	0.346752256304927	1.0317127116755451	1.1228560567211732	0.891505835768708	host	yecR	None	None	0.6452840441753708
