Geneid	0	2.5	5	10	20	30	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b2695	0.5568148625251116	1.0	0.30758427418696016	0.22394820247994351	0.22335851327073306	0.360036166319036	host	serV	None	None	3691.213284426559
gene-T4p208	9.506043137697295e-05	0.6581600217769803	1.0	0.28702457545390425	0.19866535386452558	0.1362229138198905	phage	30.5	early	early	1004.393355802123
gene-b0525	1.0	0.526150601602606	0.1144480642889461	0.05992105026179528	0.03285466605415368	0.0647615999145561	host	ppiB	None	None	194.54859643121182
gene-b1753	1.0	0.7628011445459257	0.26507732156219344	0.15993573805675124	0.10073156051341382	0.09283751801514044	host	ynjA	None	None	1.9458335278426169
gene-b0843	1.0	0.8512629708703492	0.34830352501861866	0.2953468361330532	0.05936247414571985	0.1269169783620138	host	ybjH	None	None	6.243895972845633
gene-b1789	1.0	0.7934145292643137	0.16491780219665125	0.1560446499398913	0.10003139857901135	0.09368569027604619	host	yeaL	None	None	3.541175079980333
gene-b4545	1.0	0.7729336741681776	0.36183910189039015	0.2532422557662244	0.2512698787395278	0.33878434410685015	host	ypdJ	None	None	0.9020606100084664
gene-b2157	0.8104763576520734	1.0	0.2786035286905232	0.17832925146656076	0.10754378877249131	0.12817786952067375	host	yeiE	None	None	7.839524772225289
gene-b2498	1.0	0.27179322203736483	0.04439032381807289	0.03152695923826121	0.01569194832193592	0.023160088484856983	host	upp	None	None	902.3020383109716
gene-b3039	0.886504930420094	1.0	0.47927150043426137	0.2639219202452861	0.1528850539267556	0.06282302628941137	host	ygiD	None	None	1.7765806571146796
gene-b0870	1.0	0.7109925858878444	0.2742381488845893	0.14977803948858057	0.05030759182931319	0.13352648098989295	host	ltaE	None	None	17.10157281151757
gene-b0969	1.0	0.8105045282422586	0.2866722362493738	0.13954987256721024	0.060476011891562216	0.08135582474912732	host	tusE	None	None	17.18360773967547
gene-b3462	1.0	0.9346310174275687	0.38644256077056577	0.2564601049221383	0.10102786107333553	0.21746994288110744	host	ftsX	None	None	18.468676937945418
gene-b4334	0.7843775168855526	1.0	0.8238998214298386	0.7903784301930334	0.3409814773739564	0.22951014055687533	host	yjiL	None	None	0.5770412439916247
gene-b2209	1.0	0.8382756201429793	0.5425177575984707	0.4317010936665612	0.1367746178639745	0.22469106131744265	host	eco	None	None	6.979073128676769
gene-b4608	1.0	0.9333104934027756	0.26474750252145085	0.07601444406555381	0.04586211866907706	0.19374514943580343	host	ohsC	None	None	7.815363785414353
gene-b4837	1.0	0.8394149081550767	0.6707524278481467	0.1934936378605806	0.35320816297094526	0.15199862675890932	host	spfP	None	None	113.22118764941612
gene-b0357	1.0	0.6559347864375463	0.2360971522579797	0.12379392661873728	0.05802310495329104	0.1195091410875644	host	frmR	None	None	41.206484352461764
gene-b2784	1.0	0.9937829524305986	0.1960470217068493	0.10089163301806635	0.040858785844056104	0.08069837658944044	host	relA	None	None	35.89249342574815
gene-b0169	1.0	0.7794548240742498	0.33335615540055463	0.15027387600523653	0.07373448213440423	0.15501278886324327	host	rpsB	None	None	952.6246240698288
gene-b4703	0.7280498988129159	1.0	0.25471026361866106	0.08192531197430028	0.054148452442246586	0.035913356254596934	host	pmrR	None	None	79.18986429682589
gene-b3783	1.0	0.7466075434642758	0.31902400065704084	0.08581660675117884	0.04364720357286658	0.08178025074113168	host	rho	None	None	184.10663859550888
gene-b4222	1.0	0.5902599427608759	0.1914686352915741	0.08155909869135433	0.18447824242854693	0.08107524815926281	host	ytfP	None	None	43.84827597867151
gene-b2017	1.0	0.891661518182255	0.31819287415620806	0.10195013304621639	0.05506180703833345	0.09088325743135611	host	yefM	None	None	12.414902688157484
gene-b0024	1.0	0.6976227343148449	0.28017056374568744	0.06777859389451311	0.041079505924432866	0.04511454763737015	host	yaaY	None	None	126.9767046146623
gene-b4637	1.0	0.4778698958242859	0.1515916808987481	0.03429114511520718	0.033623621329666085	0.029933435729365403	host	uof	None	None	480.67168716510116
gene-b0813	1.0	0.6440980373188709	0.3626065784074925	0.216067650771126	0.10600793609867203	0.05888825860457801	host	rhtA	None	None	2.630962690014169
gene-b0645	0.007473774915659272	0.01352438517874144	0.009784972710651041	1.0	0.0042766281947675035	0.004692746801643536	host	ybeR	None	None	117.64321658700872
gene-b0526	1.0	0.5211583269258627	0.12079121819944615	0.08510011021270922	0.03893088839911381	0.11237596619880769	host	cysS	None	None	37.232896572726766
