Geneid	0_R1	0_R2	10_R1	10_R2	30_R1	30_R2	50_R1	50_R2	70_R1	70_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C2005	56	98	45	66	70	41	30	21	25	18	host	gene-HB27c_C2005	None	None	26.228523796187798
gene-HB27c_C1568	47	80	15	14	48	37	15	10	39	15	host	gene-HB27c_C1568	None	None	9.832776758173454
gene-HB27c_C0990	13	18	6	7	19	17	3	5	6	7	host	gene-HB27c_C0990	None	None	3.45781274355839
gene-HB27c_C1901	12	18	7	7	17	7	10	3	3	8	host	gene-HB27c_C1901	None	None	5.539061381838571
gene-HB27c_P0024	75	105	35	32	79	48	38	24	31	22	host	gene-HB27c_P0024	None	None	4.273005745290345
gene-HB27c_C0861	2834	4157	2864	2728	5191	4564	3694	3474	3622	2003	host	gene-HB27c_C0861	None	None	209.0039307556925
gene-HB27c_C0817	10	10	10	3	4	6	4	2	1	1	host	gene-HB27c_C0817	None	None	15.073691846355986
gene-HB27c_C1573	422	597	222	295	674	451	359	247	375	323	host	gene-HB27c_C1573	None	None	13.84004611987935
gene-HB27c_C0221	154	215	81	78	144	108	74	52	40	40	host	gene-HB27c_C0221	None	None	18.479352201390245
gene-HB27c_P0268	11	12	4	6	11	2	2	0	5	3	host	gene-HB27c_P0268	None	None	1.0608738864975351
gene-HB27c_C0780	23	58	20	22	47	34	29	11	23	11	host	gene-HB27c_C0780	None	None	17.492176010348587
gene-HB27c_C1319	211	269	78	88	280	195	115	130	165	108	host	gene-HB27c_C1319	None	None	7.300891969884361
gene-HB27c_C1913	289	452	172	208	420	236	274	209	352	253	host	gene-HB27c_C1913	None	None	9.803934854946721
gene-HB27c_C0207	87	146	75	99	146	98	75	75	78	40	host	gene-HB27c_C0207	None	None	7.807564315534037
gene-HB27c_C0094	34	50	19	20	25	25	16	9	12	8	host	gene-HB27c_C0094	None	None	7.931106073014285
gene-HB27c_C0957	48	90	48	39	64	50	43	27	37	31	host	gene-HB27c_C0957	None	None	9.420138221276472
gene-HB27c_C2030	376	533	436	270	444	352	232	264	241	204	host	gene-HB27c_C2030	None	None	96.44528842864334
gene-HB27c_C0171	64	85	26	29	50	34	18	25	28	13	host	gene-HB27c_C0171	None	None	8.145934039226749
gene-HB27c_C0451	38	83	24	23	63	58	26	25	21	7	host	gene-HB27c_C0451	None	None	5.358556312247992
gene-HB27c_C0401	88	113	25	32	71	44	44	31	40	23	host	gene-HB27c_C0401	None	None	3.1085600273088194
gene-HB27c_C0416	64	130	21	23	94	53	30	19	38	19	host	gene-HB27c_C0416	None	None	17.426930363512582
gene-HB27c_C0535	1127	1529	741	947	1745	1303	1215	945	1051	777	host	gene-HB27c_C0535	None	None	63.19535339947618
gene-HB27c_C1261	313	475	236	235	377	274	224	204	149	118	host	gene-HB27c_C1261	None	None	25.952071860942485
gene-HB27c_C0917	611	890	349	487	744	566	522	439	457	296	host	gene-HB27c_C0917	None	None	11.392201236018833
gene-HB27c_C0832	268	361	139	194	385	228	194	132	228	113	host	gene-HB27c_C0832	None	None	7.479663028445053
gene-HB27c_C0288	30	59	30	32	56	39	19	31	34	20	host	gene-HB27c_C0288	None	None	5.950995759606961
gene-HB27c_C0148	46	64	19	24	54	32	27	19	17	17	host	gene-HB27c_C0148	None	None	14.466860590582709
gene-HB27c_C1571	135	206	73	98	191	110	93	60	96	66	host	gene-HB27c_C1571	None	None	5.656351162979494
gene-HB27c_P0072	93	140	52	60	107	61	31	29	52	34	host	gene-HB27c_P0072	None	None	27.487278133056503
gene-HB27c_C1290	94	173	58	61	112	68	67	45	69	45	host	gene-HB27c_C1290	None	None	11.438186074832208
gene-HB27c_C0264	90	178	126	112	207	178	77	124	54	47	host	gene-HB27c_C0264	None	None	169.89815441184254
gene-HB27c_C0120	16	16	4	3	9	14	8	4	7	6	host	gene-HB27c_C0120	None	None	8.045044733022536
gene-HB27c_C1351	246	367	89	140	399	215	195	128	305	224	host	gene-HB27c_C1351	None	None	41.45229862249873
gene-HB27c_C1613	303	478	282	250	553	380	270	263	218	146	host	gene-HB27c_C1613	None	None	38.61832425700453
gene-HB27c_C1381	126	177	107	133	162	112	47	77	55	55	host	gene-HB27c_C1381	None	None	141.10295107755073
gene-HB27c_C1997	1464	1507	1149	991	1401	908	1157	984	1203	1172	host	gene-HB27c_C1997	None	None	17.700280876041536
gene-HB27c_C1678	131	198	74	88	148	101	71	73	86	56	host	gene-HB27c_C1678	None	None	6.412056200801325
gene-HB27c_C0074	170	309	107	148	256	156	161	89	145	84	host	gene-HB27c_C0074	None	None	11.581007388306341
gene-HB27c_C0565	136	223	87	87	219	147	124	71	149	86	host	gene-HB27c_C0565	None	None	9.210825108190729
gene-HB27c_C1396	37	55	2	8	30	13	14	6	19	13	host	gene-HB27c_C1396	None	None	25.76752008318968
gene-HB27c_C1238	98	134	52	64	103	74	41	37	32	26	host	gene-HB27c_C1238	None	None	10.45097986134558
gene-HB27c_C1751	84	136	63	62	110	88	72	64	61	47	host	gene-HB27c_C1751	None	None	6.386365993814199
gene-phiKo_26	0	0	8	1	465	274	473	421	615	348	phage	gene-phiKo_26	early	middle	187.1847801121346
gene-HB27c_C0217	45	66	25	23	53	34	16	16	26	15	host	gene-HB27c_C0217	None	None	5.4963098731602456
gene-HB27c_P0261	52	75	27	23	40	34	15	16	20	14	host	gene-HB27c_P0261	None	None	33.69387288078036
gene-HB27c_C1007	69	98	36	52	90	71	41	26	30	26	host	gene-HB27c_C1007	None	None	8.423002608468202
gene-HB27c_C0190	166	249	117	136	247	178	155	105	133	73	host	gene-HB27c_C0190	None	None	11.317949134168355
gene-HB27c_C0176	162	218	45	65	128	92	70	67	59	64	host	gene-HB27c_C0176	None	None	22.13445957522391
gene-HB27c_C0267	119	167	53	87	138	142	101	53	113	87	host	gene-HB27c_C0267	None	None	11.932442940113916
gene-HB27c_P0247	18	36	11	19	34	21	15	10	35	12	host	gene-HB27c_P0247	None	None	0.6758543462208899
gene-HB27c_C1188	87	197	87	84	131	95	66	59	62	40	host	gene-HB27c_C1188	None	None	18.8710469708852
gene-HB27c_C0069	126	180	79	87	164	98	90	75	109	57	host	gene-HB27c_C0069	None	None	17.133972762550858
gene-HB27c_C1263	510	598	309	337	703	489	392	280	405	261	host	gene-HB27c_C1263	None	None	45.34557066333482
gene-HB27c_P0202	3	7	4	4	2	6	3	1	2	0	host	gene-HB27c_P0202	None	None	3.1645042823804013
gene-HB27c_C1096	93	150	49	51	107	59	42	43	37	30	host	gene-HB27c_C1096	None	None	15.635841033444315
gene-HB27c_P0271	10	18	6	3	10	2	1	2	4	5	host	gene-HB27c_P0271	None	None	1.6945348454786684
gene-HB27c_C1953	136	170	95	95	177	97	84	62	101	62	host	gene-HB27c_C1953	None	None	5.147630071426139
gene-HB27c_C1501	893	1362	405	496	1456	926	754	582	1085	803	host	gene-HB27c_C1501	None	None	11.492856645491363
gene-HB27c_C1864	19	36	10	7	34	26	17	12	12	12	host	gene-HB27c_C1864	None	None	8.14247386157751
gene-HB27c_C0345	37	48	23	14	54	27	19	16	22	7	host	gene-HB27c_C0345	None	None	11.645369024324351
